Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"24,740,504,199.32",7.58,"24,740,504,199.32","132,528,949.00",186.68,United States,NASDAQ,USD,1.0,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"22,329,047,822.90",6.84,"22,329,047,822.90","66,649,895.00",335.02,United States,NASDAQ,USD,1.0,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"10,348,344,735.21",3.17,"10,348,344,735.21","80,015,037.00",129.33,United States,NASDAQ,USD,1.0,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"9,357,111,450.98",2.87,"9,357,111,450.98","22,168,522.00",422.09,United States,NASDAQ,USD,1.0,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"6,515,053,743.12",2.0,"6,515,053,743.12","53,253,668.00",122.34,United States,NASDAQ,USD,1.0,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"6,196,647,769.60",1.9,"6,196,647,769.60","24,149,056.00",256.60,United States,NASDAQ,USD,1.0,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"5,725,284,338.54",1.75,"5,725,284,338.54","19,829,198.00",288.73,United States,NASDAQ,USD,1.0,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"5,635,325,256.08",1.73,"5,635,325,256.08","45,808,204.00",123.02,United States,NASDAQ,USD,1.0,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"5,358,962,868.75",1.64,"5,358,962,868.75","15,984,975.00",335.25,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"3,980,824,965.00",1.22,"3,980,824,965.00","8,345,545.00",477.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"3,854,759,297.76",1.18,"3,854,759,297.76","23,294,412.00",165.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
XOM,EXXON MOBIL CORP,Energy,Equity,"3,711,023,411.20",1.14,"3,711,023,411.20","36,240,463.00",102.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"3,637,132,289.95",1.11,"3,637,132,289.95","26,194,687.00",138.85,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
