Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"2,072,349,614.40",6.93,"2,072,349,614.40","11,101,080.00",186.68,United States,NASDAQ,USD,1.0,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"1,854,680,770.60",6.2,"1,854,680,770.60","5,536,030.00",335.02,United States,NASDAQ,USD,1.0,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"866,740,560.75",2.9,"866,740,560.75","6,701,775.00",129.33,United States,NASDAQ,USD,1.0,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"746,045,763.36",2.49,"746,045,763.36","1,767,504.00",422.09,United States,NASDAQ,USD,1.0,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"540,790,757.28",1.81,"540,790,757.28","4,420,392.00",122.34,United States,NASDAQ,USD,1.0,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"526,646,866.40",1.76,"526,646,866.40","2,052,404.00",256.60,United States,NASDAQ,USD,1.0,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"475,056,708.36",1.59,"475,056,708.36","1,645,332.00",288.73,United States,NASDAQ,USD,1.0,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"471,268,829.62",1.58,"471,268,829.62","3,830,831.00",123.02,United States,NASDAQ,USD,1.0,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"456,653,076.75",1.53,"456,653,076.75","1,362,127.00",335.25,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"329,817,357.00",1.1,"329,817,357.00","691,441.00",477.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"320,184,273.36",1.07,"320,184,273.36","1,934,882.00",165.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
XOM,EXXON MOBIL CORP,Energy,Equity,"309,410,816.00",1.03,"309,410,816.00","3,021,590.00",102.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"301,964,731.75",1.01,"301,964,731.75","2,174,755.00",138.85,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
LLY,ELI LILLY,Health Care,Equity,"288,619,995.64",0.97,"288,619,995.64","629,021.00",458.84,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
V,VISA INC CLASS A,Financials,Equity,"276,512,486.75",0.92,"276,512,486.75","1,204,585.00",229.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"259,986,566.58",0.87,"259,986,566.58","1,751,223.00",148.46,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"249,620,360.85",0.83,"249,620,360.85","303,619.00",822.15,United States,NASDAQ,USD,1.0,USD,-
MA,MASTERCARD INC CLASS A,Financials,Equity,"237,031,444.99",0.79,"237,031,444.99","624,079.00",379.81,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"226,608,294.87",0.76,"226,608,294.87","753,327.00",300.81,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MRK,MERCK & CO INC,Health Care,Equity,"216,419,922.60",0.72,"216,419,922.60","1,888,481.00",114.60,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CVX,CHEVRON CORP,Energy,Equity,"194,678,478.00",0.65,"194,678,478.00","1,286,280.00",151.35,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
PEP,PEPSICO INC,Consumer Staples,Equity,"190,677,651.41",0.64,"190,677,651.41","1,024,763.00",186.07,United States,NASDAQ,USD,1.0,USD,-
ABBV,ABBVIE INC,Health Care,Equity,"178,414,844.32",0.6,"178,414,844.32","1,312,646.00",135.92,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
KO,COCA-COLA,Consumer Staples,Equity,"177,301,418.40",0.59,"177,301,418.40","2,897,082.00",61.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"172,832,873.08",0.58,"172,832,873.08","329,557.00",524.44,United States,NASDAQ,USD,1.0,USD,-
ADBE,ADOBE INC,Information Technology,Equity,"165,446,084.56",0.55,"165,446,084.56","341,323.00",484.72,United States,NASDAQ,USD,1.0,USD,-
WMT,WALMART INC,Consumer Staples,Equity,"164,958,139.62",0.55,"164,958,139.62","1,061,097.00",155.46,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
