Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"9,188,668,313.24",13.1,"9,188,668,313.24","49,221,493.00",186.68,United States,NASDAQ,USD,1.0,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"8,223,532,917.88",11.72,"8,223,532,917.88","24,546,394.00",335.02,United States,NASDAQ,USD,1.0,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"3,843,075,869.10",5.48,"3,843,075,869.10","29,715,270.00",129.33,United States,NASDAQ,USD,1.0,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"3,307,926,083.44",4.72,"3,307,926,083.44","7,837,016.00",422.09,United States,NASDAQ,USD,1.0,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"2,397,835,617.12",3.42,"2,397,835,617.12","19,599,768.00",122.34,United States,NASDAQ,USD,1.0,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"2,335,117,735.00",3.33,"2,335,117,735.00","9,100,225.00",256.60,United States,NASDAQ,USD,1.0,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"2,106,367,926.78",3.0,"2,106,367,926.78","7,295,286.00",288.73,United States,NASDAQ,USD,1.0,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"2,089,574,539.98",2.98,"2,089,574,539.98","16,985,649.00",123.02,United States,NASDAQ,USD,1.0,USD,-
LLY,ELI LILLY,Health Care,Equity,"1,280,708,701.92",1.83,"1,280,708,701.92","2,791,188.00",458.84,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"1,229,871,996.00",1.75,"1,229,871,996.00","2,578,348.00",477.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
V,VISA INC CLASS A,Financials,Equity,"1,226,039,863.90",1.75,"1,226,039,863.90","5,341,058.00",229.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"1,106,816,148.90",1.58,"1,106,816,148.90","1,346,246.00",822.15,United States,NASDAQ,USD,1.0,USD,-
MA,MASTERCARD INC CLASS A,Financials,Equity,"1,050,978,707.77",1.5,"1,050,978,707.77","2,767,117.00",379.81,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"1,004,776,090.35",1.43,"1,004,776,090.35","3,340,235.00",300.81,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ABBV,ABBVIE INC,Health Care,Equity,"791,081,040.32",1.13,"791,081,040.32","5,820,196.00",135.92,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"766,330,083.40",1.09,"766,330,083.40","1,461,235.00",524.44,United States,NASDAQ,USD,1.0,USD,-
ADBE,ADOBE INC,Information Technology,Equity,"732,518,558.40",1.04,"732,518,558.40","1,511,220.00",484.72,United States,NASDAQ,USD,1.0,USD,-
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"621,922,748.26",0.89,"621,922,748.26","2,083,982.00",298.43,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
NFLX,NETFLIX INC,Communication,Equity,"613,248,253.44",0.87,"613,248,253.44","1,446,272.00",424.02,United States,NASDAQ,USD,1.0,USD,-
PEP,PEPSICO INC,Consumer Staples,Equity,"584,204,165.07",0.83,"584,204,165.07","3,139,701.00",186.07,United States,NASDAQ,USD,1.0,USD,-
CRM,SALESFORCE INC,Information Technology,Equity,"494,517,615.33",0.7,"494,517,615.33","2,353,837.00",210.09,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"410,872,652.74",0.59,"410,872,652.74","783,794.00",524.21,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
INTU,INTUIT INC,Information Technology,Equity,"407,869,615.79",0.58,"407,869,615.79","900,991.00",452.69,United States,NASDAQ,USD,1.0,USD,-
KO,COCA-COLA,Consumer Staples,Equity,"389,927,109.60",0.56,"389,927,109.60","6,371,358.00",61.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"376,957,703.60",0.54,"376,957,703.60","1,151,860.00",327.26,United States,NASDAQ,USD,1.0,USD,-
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"365,920,288.14",0.52,"365,920,288.14","3,720,971.00",98.34,United States,NASDAQ,USD,1.0,USD,-
NOW,SERVICENOW INC,Information Technology,Equity,"364,611,269.12",0.52,"364,611,269.12","671,488.00",542.99,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
QCOM,QUALCOMM INC,Information Technology,Equity,"363,943,217.61",0.52,"363,943,217.61","3,208,527.00",113.43,United States,NASDAQ,USD,1.0,USD,-
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"342,594,822.24",0.49,"342,594,822.24","745,809.00",459.36,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
DE,DEERE,Industrials,Equity,"340,122,631.95",0.48,"340,122,631.95","840,951.00",404.45,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"330,920,530.95",0.47,"330,920,530.95","3,008,095.00",110.01,United States,NASDAQ,USD,1.0,USD,-
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"321,077,194.45",0.46,"321,077,194.45","122,365.00","2,623.93",United States,NASDAQ,USD,1.0,USD,-
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"320,108,757.10",0.46,"320,108,757.10","2,352,530.00",136.07,United States,NASDAQ,USD,1.0,USD,-
TJX,TJX INC,Consumer Discretionary,Equity,"311,703,186.74",0.44,"311,703,186.74","3,798,479.00",82.06,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"310,499,615.76",0.44,"310,499,615.76","1,442,708.00",215.22,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
