Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
SMCI,SUPER MICRO COMPUTER INC,Information Technology,Equity,"227,945,892.72",0.43,"227,945,892.72","1,055,012.00",216.06,United States,NASDAQ,USD,1.0,USD,-
USD,USD CASH,Cash and/or Derivatives,Cash,"173,509,227.89",0.33,"173,509,227.89","173,509,228.00",100.00,United States,-,USD,1.0,USD,-
SPSC,SPS COMMERCE INC,Information Technology,Equity,"152,586,694.35",0.29,"152,586,694.35","834,765.00",182.79,United States,NASDAQ,USD,1.0,USD,-
RMBS,RAMBUS INC,Information Technology,Equity,"146,786,778.06",0.28,"146,786,778.06","2,476,578.00",59.27,United States,NASDAQ,USD,1.0,USD,-
GTLS,CHART INDUSTRIES INC,Industrials,Equity,"143,512,603.86",0.27,"143,512,603.86","960,979.00",149.34,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
LNTH,LANTHEUS HOLDINGS INC,Health Care,Equity,"142,921,472.76",0.27,"142,921,472.76","1,544,763.00",92.52,United States,NASDAQ,USD,1.0,USD,-
CHRD,CHORD ENERGY CORP,Energy,Equity,"139,790,234.50",0.26,"139,790,234.50","952,574.00",146.75,United States,NASDAQ,USD,1.0,USD,-
LNW,LIGHT WONDER INC,Consumer Discretionary,Equity,"137,583,620.04",0.26,"137,583,620.04","2,080,817.00",66.12,United States,NASDAQ,USD,1.0,USD,-
NOVT,NOVANTA INC,Information Technology,Equity,"137,039,975.05",0.26,"137,039,975.05","812,185.00",168.73,United States,NASDAQ,USD,1.0,USD,-
CMC,COMMERCIAL METALS,Materials,Equity,"136,896,270.00",0.26,"136,896,270.00","2,658,180.00",51.50,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ITCI,INTRA CELLULAR THERAPIES INC,Health Care,Equity,"135,628,830.83",0.26,"135,628,830.83","2,126,177.00",63.79,United States,NASDAQ,USD,1.0,USD,-
SIGI,SELECTIVE INSURANCE GROUP INC,Financials,Equity,"131,935,467.89",0.25,"131,935,467.89","1,371,043.00",96.23,United States,NASDAQ,USD,1.0,USD,-
ATKR,ATKORE INC,Industrials,Equity,"130,299,725.40",0.25,"130,299,725.40","902,978.00",144.30,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
FIX,COMFORT SYSTEMS USA INC,Industrials,Equity,"129,083,346.99",0.24,"129,083,346.99","803,907.00",160.57,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CHX,CHAMPIONX CORP,Energy,Equity,"128,916,578.70",0.24,"128,916,578.70","4,547,322.00",28.35,United States,NASDAQ,USD,1.0,USD,-
SSD,SIMPSON MANUFACTURING INC,Industrials,Equity,"128,863,424.20",0.24,"128,863,424.20","974,540.00",132.23,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MTDR,MATADOR RESOURCES,Energy,Equity,"128,579,513.60",0.24,"128,579,513.60","2,590,240.00",49.64,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MUR,MURPHY OIL CORP,Energy,Equity,"127,635,734.84",0.24,"127,635,734.84","3,407,254.00",37.46,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ALKS,ALKERMES,Health Care,Equity,"125,555,739.46",0.24,"125,555,739.46","3,765,919.00",33.34,United States,NASDAQ,USD,1.0,USD,-
