Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
SMCI,SUPER MICRO COMPUTER INC,Information Technology,Equity,"84,181,081.14",0.87,"84,181,081.14","389,619.00",216.06,United States,NASDAQ,USD,1.0,USD,-
SPSC,SPS COMMERCE INC,Information Technology,Equity,"56,504,775.96",0.58,"56,504,775.96","309,124.00",182.79,United States,NASDAQ,USD,1.0,USD,-
RMBS,RAMBUS INC,Information Technology,Equity,"54,369,793.48",0.56,"54,369,793.48","917,324.00",59.27,United States,NASDAQ,USD,1.0,USD,-
LNTH,LANTHEUS HOLDINGS INC,Health Care,Equity,"52,793,669.88",0.54,"52,793,669.88","570,619.00",92.52,United States,NASDAQ,USD,1.0,USD,-
NOVT,NOVANTA INC,Information Technology,Equity,"50,721,250.38",0.52,"50,721,250.38","300,606.00",168.73,United States,NASDAQ,USD,1.0,USD,-
ITCI,INTRA CELLULAR THERAPIES INC,Health Care,Equity,"50,104,238.24",0.52,"50,104,238.24","785,456.00",63.79,United States,NASDAQ,USD,1.0,USD,-
SIGI,SELECTIVE INSURANCE GROUP INC,Financials,Equity,"48,606,735.30",0.5,"48,606,735.30","505,110.00",96.23,United States,NASDAQ,USD,1.0,USD,-
ATKR,ATKORE INC,Industrials,Equity,"48,110,630.10",0.49,"48,110,630.10","333,407.00",144.30,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
FIX,COMFORT SYSTEMS USA INC,Industrials,Equity,"47,766,845.31",0.49,"47,766,845.31","297,483.00",160.57,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
SSD,SIMPSON MANUFACTURING INC,Industrials,Equity,"47,643,791.30",0.49,"47,643,791.30","360,310.00",132.23,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CHX,CHAMPIONX CORP,Energy,Equity,"47,473,832.70",0.49,"47,473,832.70","1,674,562.00",28.35,United States,NASDAQ,USD,1.0,USD,-
ALKS,ALKERMES,Health Care,Equity,"46,347,334.28",0.48,"46,347,334.28","1,390,142.00",33.34,United States,NASDAQ,USD,1.0,USD,-
ACLS,AXCELIS TECHNOLOGIES INC,Information Technology,Equity,"46,177,963.94",0.47,"46,177,963.94","274,102.00",168.47,United States,NASDAQ,USD,1.0,USD,-
ELF,ELF BEAUTY INC,Consumer Staples,Equity,"45,742,691.70",0.47,"45,742,691.70","421,786.00",108.45,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ISEE,IVERIC BIO INC,Health Care,Equity,"45,039,050.88",0.46,"45,039,050.88","1,159,008.00",38.86,United States,NASDAQ,USD,1.0,USD,-
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Industrials,Equity,"44,530,814.90",0.46,"44,530,814.90","324,995.00",137.02,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
OPCH,OPTION CARE HEALTH INC,Health Care,Equity,"43,311,698.70",0.45,"43,311,698.70","1,429,429.00",30.30,United States,NASDAQ,USD,1.0,USD,-
RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,Equity,"43,224,468.51",0.44,"43,224,468.51","482,901.00",89.51,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MMS,MAXIMUS INC,Industrials,Equity,"42,856,020.00",0.44,"42,856,020.00","513,000.00",83.54,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ATI,ATI INC,Materials,Equity,"42,440,318.50",0.44,"42,440,318.50","1,081,282.00",39.25,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
HQY,HEALTHEQUITY INC,Health Care,Equity,"42,264,133.44",0.43,"42,264,133.44","705,696.00",59.89,United States,NASDAQ,USD,1.0,USD,-
PCVX,VAXCYTE INC,Health Care,Equity,"41,694,585.90",0.43,"41,694,585.90","771,265.00",54.06,United States,NASDAQ,USD,1.0,USD,-
