Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"1,604,583,607.50",3.23,"1,604,583,607.50","4,786,230.00",335.25,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"1,125,051,192.72",2.26,"1,125,051,192.72","6,798,714.00",165.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
XOM,EXXON MOBIL CORP,Energy,Equity,"1,087,197,696.00",2.19,"1,087,197,696.00","10,617,165.00",102.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"1,061,037,826.20",2.13,"1,061,037,826.20","7,641,612.00",138.85,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"741,787,516.08",1.49,"741,787,516.08","4,996,548.00",148.46,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CVX,CHEVRON CORP,Energy,Equity,"684,052,508.55",1.38,"684,052,508.55","4,519,673.00",151.35,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MRK,MERCK & CO INC,Health Care,Equity,"620,838,853.20",1.25,"620,838,853.20","5,417,442.00",114.60,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
WMT,WALMART INC,Consumer Staples,Equity,"579,978,974.88",1.17,"579,978,974.88","3,730,728.00",155.46,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
PFE,PFIZER INC,Health Care,Equity,"565,630,294.50",1.14,"565,630,294.50","14,768,415.00",38.30,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"539,395,216.43",1.08,"539,395,216.43","10,717,171.00",50.33,United States,NASDAQ,USD,1.0,USD,-
BAC,BANK OF AMERICA CORP,Financials,Equity,"505,210,811.25",1.02,"505,210,811.25","18,205,795.00",27.75,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ABT,ABBOTT LABORATORIES,Health Care,Equity,"458,075,057.65",0.92,"458,075,057.65","4,239,473.00",108.05,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"433,295,526.30",0.87,"433,295,526.30","10,808,070.00",40.09,United States,NASDAQ,USD,1.0,USD,-
LIN,LINDE PLC,Materials,Equity,"430,502,914.71",0.87,"430,502,914.71","1,161,669.00",370.59,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
DIS,WALT DISNEY,Communication,Equity,"421,088,398.40",0.85,"421,088,398.40","4,779,664.00",88.10,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
DHR,DANAHER CORP,Health Care,Equity,"409,728,668.64",0.82,"409,728,668.64","1,720,248.00",238.18,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
WFC,WELLS FARGO,Financials,Equity,"401,165,357.07",0.81,"401,165,357.07","9,878,487.00",40.61,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
NEE,NEXTERA ENERGY INC,Utilities,Equity,"392,439,403.60",0.79,"392,439,403.60","5,291,080.00",74.17,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"390,608,882.10",0.79,"390,608,882.10","4,056,167.00",96.30,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"390,586,137.28",0.79,"390,586,137.28","10,999,328.00",35.51,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,Equity,"370,136,891.08",0.74,"370,136,891.08","3,819,388.00",96.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"360,080,556.00",0.72,"360,080,556.00","10,911,532.00",33.00,United States,NASDAQ,USD,1.0,USD,-
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"357,358,637.76",0.72,"357,358,637.76","5,494,444.00",65.04,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"324,388,706.39",0.65,"324,388,706.39","1,118,929.00",289.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
COP,CONOCOPHILLIPS,Energy,Equity,"318,369,493.82",0.64,"318,369,493.82","3,169,117.00",100.46,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
KO,COCA-COLA,Consumer Staples,Equity,"313,990,945.20",0.63,"313,990,945.20","5,130,571.00",61.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"307,380,847.83",0.62,"307,380,847.83","2,374,881.00",129.43,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MDT,MEDTRONIC PLC,Health Care,Equity,"303,695,218.08",0.61,"303,695,218.08","3,471,596.00",87.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"303,272,611.29",0.61,"303,272,611.29","1,515,681.00",200.09,United States,NASDAQ,USD,1.0,USD,-
SPGI,S&P GLOBAL INC,Financials,Equity,"300,134,141.40",0.6,"300,134,141.40","768,865.00",390.36,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
GE,GENERAL ELECTRIC,Industrials,Equity,"294,069,658.86",0.59,"294,069,658.86","2,833,587.00",103.78,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
T,AT&T INC,Communication,Equity,"289,105,158.60",0.58,"289,105,158.60","18,712,308.00",15.45,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
PLD,PROLOGIS REIT INC,Real Estate,Equity,"281,872,903.90",0.57,"281,872,903.90","2,411,231.00",116.90,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ORCL,ORACLE CORP,Information Technology,Equity,"277,710,732.40",0.56,"277,710,732.40","2,340,785.00",118.64,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"265,566,774.66",0.53,"265,566,774.66","843,846.00",314.71,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
BLK,BLACKROCK INC,Financials,Equity,"264,358,227.25",0.53,"264,358,227.25","388,505.00",680.45,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MS,MORGAN STANLEY,Financials,Equity,"262,635,857.82",0.53,"262,635,857.82","3,142,329.00",83.58,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,"259,813,116.50",0.52,"259,813,116.50","3,554,215.00",73.10,United States,NASDAQ,USD,1.0,USD,-
BA,BOEING,Industrials,Equity,"258,654,736.92",0.52,"258,654,736.92","1,259,212.00",205.41,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
GILD,GILEAD SCIENCES INC,Health Care,Equity,"253,074,502.74",0.51,"253,074,502.74","3,266,742.00",77.47,United States,NASDAQ,USD,1.0,USD,-
ADI,ANALOG DEVICES INC,Information Technology,Equity,"245,676,014.10",0.49,"245,676,014.10","1,321,265.00",185.94,United States,NASDAQ,USD,1.0,USD,-
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"241,948,124.00",0.49,"241,948,124.00","537,185.00",450.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"235,518,465.28",0.47,"235,518,465.28","1,404,571.00",167.68,United States,NASDAQ,USD,1.0,USD,-
C,CITIGROUP INC,Financials,Equity,"233,934,984.66",0.47,"233,934,984.66","5,083,333.00",46.02,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
USD,USD CASH,Cash and/or Derivatives,Cash,"233,858,858.94",0.47,"233,858,858.94","233,858,859.00",100.00,United States,-,USD,1.0,USD,-
CVS,CVS HEALTH CORP,Health Care,Equity,"232,932,199.20",0.47,"232,932,199.20","3,346,727.00",69.60,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"231,666,085.53",0.47,"231,666,085.53","1,368,457.00",169.29,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CB,CHUBB LTD,Financials,Equity,"208,171,268.32",0.42,"208,171,268.32","1,077,268.00",193.24,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
PEP,PEPSICO INC,Consumer Staples,Equity,"207,027,064.10",0.42,"207,027,064.10","1,112,630.00",186.07,United States,NASDAQ,USD,1.0,USD,-
SYK,STRYKER CORP,Health Care,Equity,"206,318,539.24",0.41,"206,318,539.24","692,623.00",297.88,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"205,963,725.11",0.41,"205,963,725.11","3,873,683.00",53.17,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"202,972,539.37",0.41,"202,972,539.37","387,197.00",524.21,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"202,697,108.38",0.41,"202,697,108.38","4,668,289.00",43.42,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"202,521,075.75",0.41,"202,521,075.75","3,752,475.00",53.97,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ETN,EATON PLC,Industrials,Equity,"202,392,023.40",0.41,"202,392,023.40","1,040,790.00",194.46,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
SO,SOUTHERN,Utilities,Equity,"200,637,443.45",0.4,"200,637,443.45","2,847,941.00",70.45,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"198,643,186.83",0.4,"198,643,186.83","1,805,683.00",110.01,United States,NASDAQ,USD,1.0,USD,-
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,"196,779,680.37",0.4,"196,779,680.37","252,369.00",779.73,United States,NASDAQ,USD,1.0,USD,-
CI,CIGNA,Health Care,Equity,"194,206,811.20",0.39,"194,206,811.20","706,592.00",274.85,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
BDX,BECTON DICKINSON,Health Care,Equity,"190,018,631.95",0.38,"190,018,631.95","740,669.00",256.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
TMUS,T MOBILE US INC,Communication,Equity,"188,512,388.80",0.38,"188,512,388.80","1,419,521.00",132.80,United States,NASDAQ,USD,1.0,USD,-
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"186,463,441.92",0.37,"186,463,441.92","2,856,364.00",65.28,United States,NASDAQ,USD,1.0,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"184,264,146.00",0.37,"184,264,146.00","386,298.00",477.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
UNP,UNION PACIFIC CORP,Industrials,Equity,"182,157,957.99",0.37,"182,157,957.99","911,291.00",199.89,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
DUK,DUKE ENERGY CORP,Utilities,Equity,"180,744,618.52",0.36,"180,744,618.52","2,014,541.00",89.72,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
AON,AON PLC CLASS A,Financials,Equity,"175,114,686.23",0.35,"175,114,686.23","528,361.00",331.43,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
AXP,AMERICAN EXPRESS,Financials,Equity,"174,646,411.03",0.35,"174,646,411.03","1,039,129.00",168.07,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
SLB,SCHLUMBERGER NV,Energy,Equity,"173,474,603.70",0.35,"173,474,603.70","3,723,430.00",46.59,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CME,CME GROUP INC CLASS A,Financials,Equity,"170,466,774.44",0.34,"170,466,774.44","938,332.00",181.67,United States,NASDAQ,USD,1.0,USD,-
ATVI,ACTIVISION BLIZZARD INC,Communication,Equity,"166,786,647.30",0.34,"166,786,647.30","2,036,467.00",81.90,United States,NASDAQ,USD,1.0,USD,-
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Equity,"165,912,574.62",0.33,"165,912,574.62","579,587.00",286.26,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,"165,382,289.38",0.33,"165,382,289.38","2,144,758.00",77.11,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
EOG,EOG RESOURCES INC,Energy,Equity,"164,064,624.36",0.33,"164,064,624.36","1,535,898.00",106.82,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,"160,883,870.70",0.32,"160,883,870.70","1,448,230.00",111.09,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity,"160,181,575.20",0.32,"160,181,575.20","352,784.00",454.05,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"158,962,256.40",0.32,"158,962,256.40","1,451,445.00",109.52,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CSX,CSX CORP,Industrials,Equity,"154,416,147.38",0.31,"154,416,147.38","4,716,437.00",32.74,United States,NASDAQ,USD,1.0,USD,-
MMM,3M,Industrials,Equity,"144,726,783.84",0.29,"144,726,783.84","1,436,922.00",100.72,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
F,FORD MOTOR CO,Consumer Discretionary,Equity,"143,755,976.72",0.29,"143,755,976.72","10,253,636.00",14.02,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
FCX,FREEPORT MCMORAN INC,Materials,Equity,"143,232,370.62",0.29,"143,232,370.62","3,732,926.00",38.37,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
