Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
CHRD,CHORD ENERGY CORP,Energy,Equity,"57,229,858.50",0.53,"57,229,858.50","389,982.00",146.75,United States,NASDAQ,USD,1.0,USD,-
CMC,COMMERCIAL METALS,Materials,Equity,"56,337,704.00",0.52,"56,337,704.00","1,093,936.00",51.50,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MUR,MURPHY OIL CORP,Energy,Equity,"52,266,551.98",0.48,"52,266,551.98","1,395,263.00",37.46,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MTH,MERITAGE CORP,Consumer Discretionary,Equity,"46,838,473.22",0.43,"46,838,473.22","341,737.00",137.06,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,Equity,"46,172,336.76",0.42,"46,172,336.76","202,191.00",228.36,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
SSB,SOUTHSTATE CORP,Financials,Equity,"46,136,897.03",0.42,"46,136,897.03","717,191.00",64.33,United States,NASDAQ,USD,1.0,USD,-
TMHC,TAYLOR MORRISON HOME CORP,Consumer Discretionary,Equity,"46,008,400.26",0.42,"46,008,400.26","976,202.00",47.13,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
NEOG,NEOGEN CORP,Health Care,Equity,"44,310,934.80",0.41,"44,310,934.80","2,042,920.00",21.69,United States,NASDAQ,USD,1.0,USD,-
ESNT,ESSENT GROUP LTD,Financials,Equity,"44,022,174.48",0.4,"44,022,174.48","991,044.00",44.42,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MTDR,MATADOR RESOURCES,Energy,Equity,"43,509,261.44",0.4,"43,509,261.44","876,496.00",49.64,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
TRNO,TERRENO REALTY REIT CORP,Real Estate,Equity,"43,254,112.94",0.4,"43,254,112.94","763,937.00",56.62,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
PBF,PBF ENERGY INC CLASS A,Energy,Equity,"43,116,450.26",0.4,"43,116,450.26","1,086,878.00",39.67,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
UFPI,UFP INDUSTRIES INC,Industrials,Equity,"42,634,824.81",0.39,"42,634,824.81","473,037.00",90.13,United States,NASDAQ,USD,1.0,USD,-
KRG,KITE REALTY GROUP TRUST REIT,Real Estate,Equity,"42,557,440.50",0.39,"42,557,440.50","2,055,915.00",20.70,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CIVI,CIVITAS RESOURCES INC,Energy,Equity,"42,007,372.08",0.39,"42,007,372.08","647,862.00",64.84,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
POR,PORTLAND GENERAL ELECTRIC,Utilities,Equity,"41,487,504.15",0.38,"41,487,504.15","900,923.00",46.05,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
HOMB,HOME BANCSHARES INC,Financials,Equity,"39,537,518.80",0.36,"39,537,518.80","1,789,028.00",22.10,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
OGS,ONE GAS INC,Utilities,Equity,"39,363,843.39",0.36,"39,363,843.39","515,301.00",76.39,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
SUM,SUMMIT MATERIALS INC CLASS A,Materials,Equity,"39,133,934.40",0.36,"39,133,934.40","1,119,712.00",34.95,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
GATX,GATX CORP,Industrials,Equity,"37,808,622.72",0.35,"37,808,622.72","309,096.00",122.32,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
PCH,POTLATCHDELTIC CORP,Real Estate,Equity,"37,495,891.32",0.34,"37,495,891.32","746,484.00",50.23,United States,NASDAQ,USD,1.0,USD,-
BKH,BLACK HILLS CORP,Utilities,Equity,"37,476,504.12",0.34,"37,476,504.12","630,069.00",59.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,Equity,"37,317,558.60",0.34,"37,317,558.60","826,524.00",45.15,Canada,New York Stock Exchange Inc.,USD,1.0,USD,-
RDN,RADIAN GROUP INC,Financials,Equity,"37,296,552.22",0.34,"37,296,552.22","1,490,074.00",25.03,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ONB,OLD NATIONAL BANCORP,Financials,Equity,"37,115,486.59",0.34,"37,115,486.59","2,771,881.00",13.39,United States,NASDAQ,USD,1.0,USD,-
IRT,INDEPENDENCE REALTY INC TRUST,Real Estate,Equity,"36,943,175.51",0.34,"36,943,175.51","2,131,747.00",17.33,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
UBSI,UNITED BANKSHARES INC,Financials,Equity,"36,402,614.64",0.33,"36,402,614.64","1,232,316.00",29.54,United States,NASDAQ,USD,1.0,USD,-
KBH,KB HOME,Consumer Discretionary,Equity,"36,224,127.00",0.33,"36,224,127.00","696,350.00",52.02,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
TRTN,TRITON INTERNATIONAL LTD,Industrials,Equity,"35,812,591.00",0.33,"35,812,591.00","431,477.00",83.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"35,737,949.70",0.33,"35,737,949.70","35,737,950.00",1.00,United States,-,USD,1.0,USD,-
SWX,SOUTHWEST GAS HOLDINGS INC,Utilities,Equity,"35,540,849.84",0.33,"35,540,849.84","583,402.00",60.92,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
GT,GOODYEAR TIRE & RUBBER,Consumer Discretionary,Equity,"34,446,083.20",0.32,"34,446,083.20","2,629,472.00",13.10,United States,NASDAQ,USD,1.0,USD,-
VSH,VISHAY INTERTECHNOLOGY INC,Information Technology,Equity,"33,167,264.28",0.3,"33,167,264.28","1,193,926.00",27.78,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ALIT,ALIGHT INC CLASS A,Industrials,Equity,"32,961,789.56",0.3,"32,961,789.56","3,732,932.00",8.83,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
SM,SM ENERGY,Energy,Equity,"32,946,112.22",0.3,"32,946,112.22","1,132,558.00",29.09,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
BRBR,BELLRING BRANDS INC,Consumer Staples,Equity,"32,801,856.12",0.3,"32,801,856.12","910,404.00",36.03,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
AVNT,AVIENT CORP,Materials,Equity,"32,706,828.00",0.3,"32,706,828.00","846,450.00",38.64,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
BECN,BEACON ROOFING SUPPLY INC,Industrials,Equity,"32,696,358.40",0.3,"32,696,358.40","409,216.00",79.90,United States,NASDAQ,USD,1.0,USD,-
ADNT,ADIENT PLC,Consumer Discretionary,Equity,"32,513,820.56",0.3,"32,513,820.56","899,912.00",36.13,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ACA,ARCOSA INC,Industrials,Equity,"32,333,408.73",0.3,"32,333,408.73","451,647.00",71.59,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
GBCI,GLACIER BANCORP INC,Financials,Equity,"32,176,903.50",0.3,"32,176,903.50","1,049,475.00",30.66,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
PNM,PNM RESOURCES INC,Utilities,Equity,"32,016,224.24",0.29,"32,016,224.24","711,788.00",44.98,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
TGNA,TEGNA INC,Communication,Equity,"31,988,759.44",0.29,"31,988,759.44","2,092,136.00",15.29,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,Equity,"31,912,416.22",0.29,"31,912,416.22","129,562.00",246.31,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
HP,HELMERICH & PAYNE INC,Energy,Equity,"31,854,144.00",0.29,"31,854,144.00","948,040.00",33.60,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,Financials,Equity,"31,616,956.00",0.29,"31,616,956.00","1,629,740.00",19.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
NWE,NORTHWESTERN CORP,Utilities,Equity,"31,613,314.08",0.29,"31,613,314.08","563,216.00",56.13,United States,NASDAQ,USD,1.0,USD,-
ALE,ALLETE INC,Utilities,Equity,"31,384,164.87",0.29,"31,384,164.87","538,969.00",58.23,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
HWC,HANCOCK WHITNEY CORP,Financials,Equity,"30,769,463.13",0.28,"30,769,463.13","822,493.00",37.41,United States,NASDAQ,USD,1.0,USD,-
VLY,VALLEY NATIONAL,Financials,Equity,"30,686,160.40",0.28,"30,686,160.40","4,086,040.00",7.51,United States,NASDAQ,USD,1.0,USD,-
CADE,CADENCE BANK,Financials,Equity,"30,479,607.84",0.28,"30,479,607.84","1,592,456.00",19.14,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
DOC,PHYSICIANS REALTY TRUST REIT,Real Estate,Equity,"30,393,571.68",0.28,"30,393,571.68","2,254,716.00",13.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
LNW,LIGHT WONDER INC,Consumer Discretionary,Equity,"30,297,440.28",0.28,"30,297,440.28","458,219.00",66.12,United States,NASDAQ,USD,1.0,USD,-
COOP,MR COOPER GROUP INC,Financials,Equity,"30,013,330.20",0.28,"30,013,330.20","621,394.00",48.30,United States,NASDAQ,USD,1.0,USD,-
SR,SPIRE INC,Utilities,Equity,"29,997,391.21",0.28,"29,997,391.21","478,351.00",62.71,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
BCC,BOISE CASCADE,Industrials,Equity,"29,742,241.71",0.27,"29,742,241.71","371,453.00",80.07,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
PECO,PHILLIPS EDISON AND COMPANY INC,Real Estate,Equity,"29,649,985.40",0.27,"29,649,985.40","920,807.00",32.20,United States,NASDAQ,USD,1.0,USD,-
AEL,AMERICAN EQUITY INVESTMENT LIFE HO,Financials,Equity,"29,472,206.89",0.27,"29,472,206.89","724,667.00",40.67,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
APLE,APPLE HOSPITALITY REIT INC,Real Estate,Equity,"29,394,374.32",0.27,"29,394,374.32","2,046,962.00",14.36,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
TPH,TRI POINTE HOMES INC,Consumer Discretionary,Equity,"29,214,953.95",0.27,"29,214,953.95","917,267.00",31.85,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
NTLA,INTELLIA THERAPEUTICS INC,Health Care,Equity,"28,901,595.78",0.27,"28,901,595.78","705,261.00",40.98,United States,NASDAQ,USD,1.0,USD,-
SANM,SANMINA CORP,Information Technology,Equity,"28,860,104.91",0.27,"28,860,104.91","508,011.00",56.81,United States,NASDAQ,USD,1.0,USD,-
EPRT,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate,Equity,"28,761,420.19",0.26,"28,761,420.19","1,255,409.00",22.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CRC,CALIFORNIA RESOURCES CORP,Energy,Equity,"28,591,521.00",0.26,"28,591,521.00","672,900.00",42.49,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials,Equity,"28,242,388.72",0.26,"28,242,388.72","1,108,414.00",25.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
SYNA,SYNAPTICS INC,Information Technology,Equity,"27,774,412.88",0.26,"27,774,412.88","342,218.00",81.16,United States,NASDAQ,USD,1.0,USD,-
ESGR,ENSTAR GROUP LTD,Financials,Equity,"27,715,999.30",0.25,"27,715,999.30","110,330.00",251.21,United States,NASDAQ,USD,1.0,USD,-
AVA,AVISTA CORP,Utilities,Equity,"27,548,331.02",0.25,"27,548,331.02","717,031.00",38.42,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
WIRE,ENCORE WIRE CORP,Industrials,Equity,"27,071,434.02",0.25,"27,071,434.02","157,191.00",172.22,United States,NASDAQ,USD,1.0,USD,-
ARNC,ARCONIC CORP,Materials,Equity,"27,008,955.36",0.25,"27,008,955.36","922,437.00",29.28,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
BNL,BROADSTONE NET LEASE INC,Real Estate,Equity,"26,789,194.40",0.25,"26,789,194.40","1,762,447.00",15.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ITGR,INTEGER HOLDINGS CORP,Health Care,Equity,"26,650,886.94",0.25,"26,650,886.94","309,642.00",86.07,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
