Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,etf_name,etf_ticker,as_of_date
AAPL,APPLE INC,Information Technology,Equity,"24,998,229,805.04",7.59,"24,998,229,805.04","132,926,884.00",188.06,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
MSFT,MICROSOFT CORP,Information Technology,Equity,"22,366,007,845.70",6.79,"22,366,007,845.70","66,850,010.00",334.57,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"10,367,378,620.56",3.15,"10,367,378,620.56","80,255,292.00",129.18,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
NVDA,NVIDIA CORP,Information Technology,Equity,"9,311,160,844.52",2.83,"9,311,160,844.52","22,235,077.00",418.76,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"6,320,425,726.49",1.92,"6,320,425,726.49","53,413,553.00",118.33,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
TSLA,TESLA INC,Consumer Discretionary,Equity,"6,060,474,275.71",1.84,"6,060,474,275.71","24,221,551.00",250.21,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
META,META PLATFORMS INC CLASS A,Communication,Equity,"5,709,060,807.65",1.73,"5,709,060,807.65","19,888,733.00",287.05,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
GOOG,ALPHABET INC CLASS C,Communication,Equity,"5,468,005,968.69",1.66,"5,468,005,968.69","45,945,769.00",119.01,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"5,376,502,866.60",1.63,"5,376,502,866.60","16,032,990.00",335.34,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"4,039,321,561.60",1.23,"4,039,321,561.60","8,370,610.00",482.56,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"3,815,163,405.18",1.16,"3,815,163,405.18","23,364,342.00",163.29,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
XOM,EXXON MOBIL CORP,Energy,Equity,"3,800,316,492.15",1.15,"3,800,316,492.15","36,349,273.00",104.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
JPM,JPMORGAN CHASE & CO,Financials,Equity,"3,657,249,902.40",1.11,"3,657,249,902.40","26,273,347.00",139.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
V,VISA INC CLASS A,Financials,Equity,"3,307,551,018.12",1.0,"3,307,551,018.12","14,548,918.00",227.34,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
LLY,ELI LILLY,Health Care,Equity,"3,290,380,508.00",1.0,"3,290,380,508.00","7,083,704.00",464.50,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
AVGO,BROADCOM INC,Information Technology,Equity,"3,180,173,950.80",0.96,"3,180,173,950.80","3,748,437.00",848.40,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"3,179,036,014.96",0.96,"3,179,036,014.96","21,190,748.00",150.02,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
MA,MASTERCARD INC CLASS A,Financials,Equity,"2,872,208,842.53",0.87,"2,872,208,842.53","7,523,007.00",381.79,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"2,856,474,694.08",0.87,"2,856,474,694.08","9,104,592.00",313.74,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
MRK,MERCK & CO INC,Health Care,Equity,"2,585,199,869.72",0.78,"2,585,199,869.72","22,813,271.00",113.32,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
CVX,CHEVRON CORP,Energy,Equity,"2,405,481,018.72",0.73,"2,405,481,018.72","15,667,824.00",153.53,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
PEP,PEPSICO INC,Consumer Staples,Equity,"2,306,592,242.26",0.7,"2,306,592,242.26","12,386,383.00",186.22,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
KO,COCA-COLA,Consumer Staples,Equity,"2,137,708,685.84",0.65,"2,137,708,685.84","34,992,776.00",61.09,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"2,114,529,124.35",0.64,"2,114,529,124.35","3,987,195.00",530.33,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
ABBV,ABBVIE INC,Health Care,Equity,"2,103,511,503.60",0.64,"2,103,511,503.60","15,863,586.00",132.60,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
ADBE,ADOBE INC,Information Technology,Equity,"2,017,749,480.00",0.61,"2,017,749,480.00","4,124,000.00",489.27,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
WMT,WALMART INC,Consumer Staples,Equity,"1,948,196,608.47",0.59,"1,948,196,608.47","12,610,503.00",154.49,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"1,912,108,930.20",0.58,"1,912,108,930.20","6,564,054.00",291.30,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"1,872,879,371.46",0.57,"1,872,879,371.46","36,824,211.00",50.86,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
PFE,PFIZER INC,Health Care,Equity,"1,848,499,503.72",0.56,"1,848,499,503.72","50,755,066.00",36.42,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
CRM,SALESFORCE INC,Information Technology,Equity,"1,838,054,313.18",0.56,"1,838,054,313.18","8,802,099.00",208.82,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"1,767,315,274.96",0.54,"1,767,315,274.96","3,467,908.00",509.62,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
BAC,BANK OF AMERICA CORP,Financials,Equity,"1,760,306,483.76",0.53,"1,760,306,483.76","62,333,799.00",28.24,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"1,707,972,708.72",0.52,"1,707,972,708.72","5,677,912.00",300.81,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
ABT,ABBOTT LABORATORIES,Health Care,Equity,"1,685,220,658.05",0.51,"1,685,220,658.05","15,634,295.00",107.79,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
NFLX,NETFLIX INC,Communication,Equity,"1,666,955,731.32",0.51,"1,666,955,731.32","3,996,729.00",417.08,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
LIN,LINDE PLC,Materials,Equity,"1,653,981,986.25",0.5,"1,653,981,986.25","4,401,815.00",375.75,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
ORCL,ORACLE CORP,Information Technology,Equity,"1,630,387,457.52",0.49,"1,630,387,457.52","13,835,603.00",117.84,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"1,598,251,147.36",0.48,"1,598,251,147.36","14,478,224.00",110.39,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"1,551,171,852.36",0.47,"1,551,171,852.36","37,395,657.00",41.48,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
DIS,WALT DISNEY,Communication,Equity,"1,463,140,200.12",0.44,"1,463,140,200.12","16,428,702.00",89.06,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"1,438,764,708.06",0.44,"1,438,764,708.06","8,160,426.00",176.31,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
DHR,DANAHER CORP,Health Care,Equity,"1,395,966,961.20",0.42,"1,395,966,961.20","5,970,774.00",233.80,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"1,381,468,361.60",0.42,"1,381,468,361.60","37,796,672.00",36.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
WFC,WELLS FARGO,Financials,Equity,"1,380,098,686.36",0.42,"1,380,098,686.36","33,734,996.00",40.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"1,347,520,774.64",0.41,"1,347,520,774.64","13,955,269.00",96.56,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
NEE,NEXTERA ENERGY INC,Utilities,Equity,"1,344,563,846.37",0.41,"1,344,563,846.37","18,191,907.00",73.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"1,278,753,546.40",0.39,"1,278,753,546.40","37,500,104.00",34.10,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,Equity,"1,268,080,921.03",0.38,"1,268,080,921.03","13,136,651.00",96.53,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"1,258,496,370.18",0.38,"1,258,496,370.18","11,077,338.00",113.61,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"1,223,001,302.25",0.37,"1,223,001,302.25","18,888,051.00",64.75,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"1,216,516,321.14",0.37,"1,216,516,321.14","5,982,671.00",203.34,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
QCOM,QUALCOMM INC,Information Technology,Equity,"1,199,767,526.10",0.36,"1,199,767,526.10","10,015,590.00",119.79,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"1,198,652,486.04",0.36,"1,198,652,486.04","5,361,659.00",223.56,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
INTU,INTUIT INC,Information Technology,Equity,"1,157,815,500.27",0.35,"1,157,815,500.27","2,522,309.00",459.03,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
SPGI,S&P GLOBAL INC,Financials,Equity,"1,153,060,728.29",0.35,"1,153,060,728.29","2,948,929.00",391.01,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"1,138,189,719.43",0.35,"1,138,189,719.43","6,516,229.00",174.67,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
CAT,CATERPILLAR INC,Industrials,Equity,"1,115,208,713.58",0.34,"1,115,208,713.58","4,633,382.00",240.69,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"1,113,508,882.50",0.34,"1,113,508,882.50","7,598,150.00",146.55,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
UNP,UNION PACIFIC CORP,Industrials,Equity,"1,112,652,529.26",0.34,"1,112,652,529.26","5,481,587.00",202.98,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
