Accrual Date,Asset Class,Currency,Exchange,FX Rate,Location,Market Currency,Market Value,Name,Notional Value,Price,Sector,Shares,Ticker,Weight (%),as_of_date,etf_name,etf_ticker
-,Equity,USD,NASDAQ,1.0,United States,USD,"25,142,928,884.61",APPLE INC,"25,142,928,884.61",189.59,Information Technology,"132,617,379.00",AAPL,7.61,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"22,345,946,993.25",MICROSOFT CORP,"22,345,946,993.25",335.05,Information Technology,"66,694,365.00",MSFT,6.77,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"10,240,751,813.30",AMAZON COM INC,"10,240,751,813.30",127.90,Consumer Discretionary,"80,068,427.00",AMZN,3.1,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"9,055,671,624.64",NVIDIA CORP,"9,055,671,624.64",408.22,Information Technology,"22,183,312.00",NVDA,2.74,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"6,346,743,481.80",ALPHABET INC CLASS A,"6,346,743,481.80",119.10,Communication,"53,289,198.00",GOOGL,1.92,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"6,222,530,245.00",TESLA INC,"6,222,530,245.00",257.50,Consumer Discretionary,"24,165,166.00",TSLA,1.88,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"5,586,238,754.84",META PLATFORMS INC CLASS A,"5,586,238,754.84",281.53,Communication,"19,842,428.00",META,1.69,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"5,501,111,267.74",ALPHABET INC CLASS C,"5,501,111,267.74",120.01,Communication,"45,838,774.00",GOOG,1.67,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"5,389,092,756.95",BERKSHIRE HATHAWAY INC CLASS B,"5,389,092,756.95",336.91,Financials,"15,995,645.00",BRKB,1.63,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,978,805,230.60",UNITEDHEALTH GROUP INC,"3,978,805,230.60",476.44,Health Care,"8,351,115.00",UNH,1.21,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,869,437,408.10",EXXON MOBIL CORP,"3,869,437,408.10",106.70,Energy,"36,264,643.00",XOM,1.17,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,825,163,123.20",JOHNSON & JOHNSON,"3,825,163,123.20",164.10,Health Care,"23,309,952.00",JNJ,1.16,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,759,611,112.81",JPMORGAN CHASE & CO,"3,759,611,112.81",143.43,Financials,"26,212,167.00",JPM,1.14,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,401,163,704.16",VISA INC CLASS A,"3,401,163,704.16",234.32,Financials,"14,515,038.00",V,1.03,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,282,652,553.31",ELI LILLY,"3,282,652,553.31",464.49,Health Care,"7,067,219.00",LLY,0.99,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"3,225,772,005.54",BROADCOM INC,"3,225,772,005.54",862.57,Information Technology,"3,739,722.00",AVGO,0.98,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,158,102,033.24",PROCTER & GAMBLE,"3,158,102,033.24",149.38,Consumer Staples,"21,141,398.00",PG,0.96,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,909,659,898.69",MASTERCARD INC CLASS A,"2,909,659,898.69",387.67,Financials,"7,505,507.00",MA,0.88,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,796,046,647.24",HOME DEPOT INC,"2,796,046,647.24",307.82,Consumer Discretionary,"9,083,382.00",HD,0.85,2023-06-29,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,584,186,409.14",MERCK & CO INC,"2,584,186,409.14",113.54,Health Care,"22,760,141.00",MRK,0.78,2023-06-29,iShares Core S&P 500 ETF,ivv
