Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,etf_name,etf_ticker,as_of_date
AAPL,APPLE INC,Information Technology,Equity,"25,573,331,004.49",7.6,"25,573,331,004.49","133,660,853.00",191.33,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
MSFT,MICROSOFT CORP,Information Technology,Equity,"22,730,142,384.65",6.75,"22,730,142,384.65","67,219,111.00",338.15,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"10,521,461,173.02",3.13,"10,521,461,173.02","80,698,429.00",130.38,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
NVDA,NVIDIA CORP,Information Technology,Equity,"9,461,164,613.78",2.81,"9,461,164,613.78","22,357,834.00",423.17,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
TSLA,TESLA INC,Consumer Discretionary,Equity,"6,879,874,974.72",2.04,"6,879,874,974.72","24,355,264.00",282.48,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"6,539,004,031.00",1.94,"6,539,004,031.00","53,708,452.00",121.75,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
META,META PLATFORMS INC CLASS A,Communication,Equity,"5,886,970,808.54",1.75,"5,886,970,808.54","19,998,542.00",294.37,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
GOOG,ALPHABET INC CLASS C,Communication,Equity,"5,665,444,685.00",1.68,"5,665,444,685.00","46,199,500.00",122.63,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"5,506,476,959.56",1.64,"5,506,476,959.56","16,121,551.00",341.56,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"3,966,183,816.02",1.18,"3,966,183,816.02","8,416,841.00",471.22,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
XOM,EXXON MOBIL CORP,Energy,Equity,"3,907,556,971.97",1.16,"3,907,556,971.97","36,549,967.00",106.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"3,824,948,080.44",1.14,"3,824,948,080.44","23,493,324.00",162.81,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
JPM,JPMORGAN CHASE & CO,Financials,Equity,"3,821,161,859.84",1.13,"3,821,161,859.84","26,418,431.00",144.64,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
V,VISA INC CLASS A,Financials,Equity,"3,502,976,785.90",1.04,"3,502,976,785.90","14,629,262.00",239.45,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-05
