ticker,etf-id,etf_name,file_name
esgu,286007,ishares-esg-aware-msci-usa-etf,ESGU_holdings
esgd,283778,ishares-esg-aware-msci-eafe-etf,ESGD_holdings
esge,283777,ishares-esg-aware-msci-em-etf,ESGE_holdings
susa,239692,ishares-msci-usa-esg-select-etf,SUSA_holdings
dsi,239667,ishares-msci-kld-400-social-etf,DSI_holdings
icln,239738,ishares-global-clean-energy-etf,ICLN_holdings
uscl,332075,ishares-climate-conscious-transition-msci-usa-etf,USCL_holdings
pabu,325725,ishares-paris-aligned-climate-msci-usa-etf,PABU_holdings
lctu,318215,blackrock-u-s-carbon-transition-readiness-etf,LCTU_holdings
esml,296644,ishares-esg-aware-msci-usa-small-cap-etf,ESML_holdings
susl,308574,ishares-esg-msci-usa-leaders-etf,SUSL_holdings
crbn,271054,ishares-msci-acwi-low-carbon-target-etf,CRBN_holdings
usxf,314365,ishares-esg-advanced-msci-usa-etf,USXF_holdings
lctd,318216,blackrock-world-ex-u-s-carbon-transition-readiness-etf,LCTD_holdings
dmxf,314362,ishares-esg-advanced-msci-eafe-etf,DMXF_holdings
sdg,283378,ishares-msci-global-sustainable-development-goals-etf,SDG_holdings
xvv,315917,ishares-esg-screened-s-p-500-etf,XVV_holdings
xjh,315914,ishares-esg-screened-s-p-mid-cap-etf,XJH_holdings
emxf,316020,ishares-esg-advanced-msci-em-etf,EMXF_holdings
xjr,315920,ishares-esg-screened-s-p-small-cap-etf,XJR_holdings
ldem,312222,ishares-esg-msci-em-leaders-etf,LDEM_holdings
esmv,321324,ishares-esg-msci-usa-min-vol-factor-etf,ESMV_holdings
iwtr,329650,ishares-msci-water-management-multisector-etf,IWTR_holdings
egus,330808,ishares-esg-aware-msci-usa-growth-etf,EGUS_holdings
efra,330188,ishares-environmental-infrastructure-and-industrials-etf,EFRA_holdings
beco,320098,blackrock-future-climate-and-sustainable-economy-etf,BECO_holdings
evus,330809,ishares-esg-aware-msci-usa-value-etf,EVUS_holdings
etec,331244,ishares-breakthrough-environmental-solutions-etf,ETEC_holdings
