Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,etf_name,etf_ticker,as_of_date
AAPL,APPLE INC,Information Technology,Equity,"25,629,060,036.70",7.63,"25,629,060,036.70","133,165,645.00",192.46,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
MSFT,MICROSOFT CORP,Information Technology,Equity,"22,635,217,001.21",6.74,"22,635,217,001.21","66,970,079.00",337.99,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"10,469,615,727.90",3.12,"10,469,615,727.90","80,399,445.00",130.22,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
NVDA,NVIDIA CORP,Information Technology,Equity,"9,447,499,991.30",2.81,"9,447,499,991.30","22,275,010.00",424.13,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
TSLA,TESLA INC,Consumer Discretionary,Equity,"6,789,845,731.36",2.02,"6,789,845,731.36","24,265,048.00",279.82,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"6,415,787,131.60",1.91,"6,415,787,131.60","53,509,484.00",119.90,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
META,META PLATFORMS INC CLASS A,Communication,Equity,"5,698,792,333.08",1.7,"5,698,792,333.08","19,924,454.00",286.02,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
GOOG,ALPHABET INC CLASS C,Communication,Equity,"5,549,172,812.48",1.65,"5,549,172,812.48","46,028,308.00",120.56,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"5,493,135,258.00",1.63,"5,493,135,258.00","16,061,799.00",342.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"4,007,333,944.12",1.19,"4,007,333,944.12","8,385,649.00",477.88,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
XOM,EXXON MOBIL CORP,Energy,Equity,"3,913,108,510.14",1.16,"3,913,108,510.14","36,414,559.00",107.46,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
JPM,JPMORGAN CHASE & CO,Financials,Equity,"3,858,854,809.23",1.15,"3,858,854,809.23","26,320,543.00",146.61,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"3,823,419,105.00",1.14,"3,823,419,105.00","23,406,300.00",163.35,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
V,VISA INC CLASS A,Financials,Equity,"3,468,425,600.38",1.03,"3,468,425,600.38","14,575,054.00",237.97,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
AVGO,BROADCOM INC,Information Technology,Equity,"3,291,172,430.40",0.98,"3,291,172,430.40","3,755,160.00",876.44,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
LLY,ELI LILLY,Health Care,Equity,"3,274,430,577.82",0.97,"3,274,430,577.82","7,096,421.00",461.42,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"3,237,394,745.00",0.96,"3,237,394,745.00","21,228,818.00",152.50,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
MA,MASTERCARD INC CLASS A,Financials,Equity,"2,969,082,297.72",0.88,"2,969,082,297.72","7,536,507.00",393.96,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"2,827,678,159.08",0.84,"2,827,678,159.08","9,120,954.00",310.02,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
MRK,MERCK & CO INC,Health Care,Equity,"2,612,927,202.81",0.78,"2,612,927,202.81","22,854,257.00",114.33,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
CVX,CHEVRON CORP,Energy,Equity,"2,467,561,557.18",0.73,"2,467,561,557.18","15,695,958.00",157.21,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
PEP,PEPSICO INC,Consumer Staples,Equity,"2,303,041,913.60",0.69,"2,303,041,913.60","12,408,631.00",185.60,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"2,161,103,124.00",0.64,"2,161,103,124.00","3,994,350.00",541.04,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
ABBV,ABBVIE INC,Health Care,Equity,"2,145,588,505.71",0.64,"2,145,588,505.71","15,892,071.00",135.01,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
KO,COCA-COLA,Consumer Staples,Equity,"2,123,670,186.56",0.63,"2,123,670,186.56","35,055,632.00",60.58,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
ADBE,ADOBE INC,Information Technology,Equity,"2,004,595,623.58",0.6,"2,004,595,623.58","4,131,398.00",485.21,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
WMT,WALMART INC,Consumer Staples,Equity,"1,998,565,279.20",0.59,"1,998,565,279.20","12,633,156.00",158.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"1,938,824,498.52",0.58,"1,938,824,498.52","6,575,853.00",294.84,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"1,911,658,507.02",0.57,"1,911,658,507.02","36,890,361.00",51.82,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
CRM,SALESFORCE INC,Information Technology,Equity,"1,866,312,979.65",0.56,"1,866,312,979.65","8,817,921.00",211.65,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
PFE,PFIZER INC,Health Care,Equity,"1,863,513,889.70",0.55,"1,863,513,889.70","50,846,218.00",36.65,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
BAC,BANK OF AMERICA CORP,Financials,Equity,"1,823,416,425.60",0.54,"1,823,416,425.60","62,445,768.00",29.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"1,803,463,410.95",0.54,"1,803,463,410.95","3,474,145.00",519.11,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"1,768,834,054.46",0.53,"1,768,834,054.46","5,688,118.00",310.97,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-07-03
