Accrual Date,Asset Class,Currency,Exchange,FX Rate,Location,Market Currency,Market Value,Name,Notional Value,Price,Sector,Shares,Ticker,Type,Weight (%),as_of_date,etf_name,etf_ticker
-,Equity,USD,NASDAQ,1.0,United States,USD,"25,549,740,430.20",APPLE INC,"25,549,740,430.20",190.68,Information Technology,"133,992,765.00",AAPL,,7.66,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"22,723,928,502.08",MICROSOFT CORP,"22,723,928,502.08",337.22,Information Technology,"67,386,064.00",MSFT,,6.81,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"10,499,049,378.72",AMAZON COM INC,"10,499,049,378.72",129.78,Consumer Discretionary,"80,898,824.00",AMZN,,3.15,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"9,526,359,326.43",NVIDIA CORP,"9,526,359,326.43",425.03,Information Technology,"22,413,381.00",NVDA,,2.86,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"6,700,426,072.99",TESLA INC,"6,700,426,072.99",274.43,Consumer Discretionary,"24,415,793.00",TSLA,,2.01,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"6,433,027,105.52",ALPHABET INC CLASS A,"6,433,027,105.52",119.48,Communication,"53,841,874.00",GOOGL,,1.93,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"5,824,608,775.54",META PLATFORMS INC CLASS A,"5,824,608,775.54",290.53,Communication,"20,048,218.00",META,,1.75,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"5,564,183,422.68",ALPHABET INC CLASS C,"5,564,183,422.68",120.14,Communication,"46,314,162.00",GOOG,,1.67,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"5,509,464,895.20",BERKSHIRE HATHAWAY INC CLASS B,"5,509,464,895.20",340.90,Financials,"16,161,528.00",BRKB,,1.65,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,894,683,720.76",UNITEDHEALTH GROUP INC,"3,894,683,720.76",461.58,Health Care,"8,437,722.00",UNH,,1.17,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,822,702,292.08",JPMORGAN CHASE & CO,"3,822,702,292.08",144.34,Financials,"26,484,012.00",JPM,,1.15,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,779,859,770.00",EXXON MOBIL CORP,"3,779,859,770.00",103.16,Energy,"36,640,750.00",XOM,,1.13,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,750,609,817.50",JOHNSON & JOHNSON,"3,750,609,817.50",159.25,Health Care,"23,551,710.00",JNJ,,1.12,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,467,674,262.95",VISA INC CLASS A,"3,467,674,262.95",236.45,Financials,"14,665,571.00",V,,1.04,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,228,086,281.60",ELI LILLY,"3,228,086,281.60",452.08,Health Care,"7,140,520.00",LLY,,0.97,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"3,199,430,480.25",BROADCOM INC,"3,199,430,480.25",846.75,Information Technology,"3,778,483.00",AVGO,,0.96,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"3,178,464,868.80",PROCTER & GAMBLE,"3,178,464,868.80",148.80,Consumer Staples,"21,360,651.00",PG,,0.95,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"2,947,499,976.12",MASTERCARD INC CLASS A,"2,947,499,976.12",388.68,Financials,"7,583,359.00",MA,,0.88,2023-07-07,iShares Core S&P 500 ETF,ivv
