Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Industry,1-Month High,1-Month Low,1-Year Beta,3-Month High,3-Month Low,3-Month Performance,5Y Performance,6-Month High,6-Month Low,6-Month Performance,52 Week High,52 Week Low,All Time High,All Time Low,Average Volume (10 day),Average Volume (30 day),Average Volume (60 day),Average Volume (90 day),Cash and short term investments (FY),Cash and short term investments (MRQ),Cash & Equivalents (FY),Cash & Equivalents (MRQ),"Change 1M, %","Change 1W, %",Country,Debt to Equity Ratio (MRQ),Current Ratio (MRQ),Dividends per share (Annual YoY Growth),Dividends per Share (FY),Dividends per Share (MRQ),Dividend Yield Forward,EBITDA (Annual YoY Growth),EBITDA (Quarterly QoQ Growth),EBITDA (Quarterly YoY Growth),EBITDA (TTM),EBITDA (TTM YoY Growth),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),EPS Diluted (MRQ),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Quarterly YoY Growth),EPS Diluted (TTM),EPS Diluted (TTM YoY Growth),EPS Forecast (MRQ),Exponential Moving Average (5),Exponential Moving Average (20),Exponential Moving Average (30),Exponential Moving Average (100),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow Margin (TTM),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Quarterly YoY Growth),Free Cash Flow (TTM YoY Growth),Gross Margin (FY),Gross Margin (TTM),Gross Profit (Annual YoY Growth),Gross Profit (FY),Gross Profit (MRQ),Gross Profit (Quarterly QoQ Growth),Gross Profit (Quarterly YoY Growth),Gross Profit (TTM YoY Growth),Money Flow (14),Net Debt (MRQ),Net Income (Annual YoY Growth),Net Income (FY),Net Income (Quarterly QoQ Growth),Net Income (Quarterly YoY Growth),Net Income (TTM YoY Growth),Net Margin (FY),Net Margin (TTM),Operating Margin (FY),Operating Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Quick Ratio (MRQ),Recent Earnings Date,Relative Strength Index (7),Relative Strength Index (14),Research & development Ratio (FY),Research & development Ratio (TTM),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue (Annual YoY Growth),Revenue per Employee (FY),Revenue (Quarterly QoQ Growth),Revenue (Quarterly YoY Growth),Revenue (TTM YoY Growth),Shares Float,Simple Moving Average (5),Simple Moving Average (10),Simple Moving Average (30),Simple Moving Average (100),Total Assets (Annual YoY Growth),Total Assets (MRQ),Total Assets (Quarterly QoQ Growth),Total Assets (Quarterly YoY Growth),Total Debt (Annual YoY Growth),Total Current Assets (MRQ),Total Debt (MRQ),Total Debt (Quarterly QoQ Growth),Total Debt (Quarterly YoY Growth),Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding,Upcoming Earnings Date,Volatility,Volatility Month,Volatility Week,Volume Weighted Average Price,Volume Weighted Moving Average (20),YTD Performance,Weekly Performance,Yearly Performance,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (200),Pretax Margin (TTM),Dividends Paid (FY),Exponential Moving Average (50),Exponential Moving Average (10),Basic EPS (FY)
AAPL,Apple Inc.,188.61,-1.08558842,-2.07,Neutral,59922161,11301918786.21,2966590521817,32.04546613,5.9134,164000,Electronic Technology,Telecommunications Equipment,194.48,180.97,1.1757021,194.48,159.78,16.17493071,298.12137203,194.48,131.44,43.70285714,194.48,124.17,194.48,0.049107,51186783.9,59820577.73333333,57127079.85,58819295.73333333,48304000000,55872000000,21475000000,21706000000,-2.76331391,-1.08558842,United States,1.76348982,0.94035395,5.88235294,0.9,0.23,0.5089868,8.57335341,-19.81917189,-4.58491258,123788000000,-5.35723843,24.39924324,2666920000000,8.89205558,6.1132,1.52,-18.90856869,-0.00655867,5.8857,-4.3302287,1.190494,190.25566543,187.13874146,184.57563708,171.09664445,19.89177326,28.26149804,25.31583116,-15.13667351,-0.03118665,-7.84834535,43.30963056,43.18103325,11.74199796,170782000000,41976000000,-16.60176429,-1.36986301,-0.65952973,53.90501852,53743000000,5.41085763,99803000000,-19.46129742,-3.39864054,-7.46946584,25.30964071,24.49291733,30.2887444,29.16267415,59.34416532,47.71059468,30.6586532,7.76149288,7.80876002,0.87804289,2023-05-04,48.17286453,58.60098104,6.65714836,7.4589387,27.62681929,145.6054092,57.17793047,7.7937876,2404439.02439024,-19.05013913,-2.51033122,-0.25435341,15714418340.4,190.978,190.103,184.26033333,168.26215,0.49942735,332160000000,-4.20681361,-5.27630596,-2.96069498,112913000000,109615000000,-1.34551346,-8.63970129,302083000000,270002000000,394328000000,15728700000,2023-08-03,1.94883311,1.27156413,1.3964509,188.545,187.24546193,44.77279705,-2.66797399,29.83857089,187.331,179.2125,155.499575,29.01310066,-14841000000,179.8806923,189.63357841,6.1546
MSFT,Microsoft Corporation,331.83,-1.59836309,-5.39,Sell,32791443,10881184530.689999,2467317652473,35.96995187,9.2577,221000,Electronic Technology,Computer Processing Hardware,351.47,325.16,1.2036239,351.47,275.37,16.12598425,226.45909497,351.47,230.68,43.46923775,351.47,213.431,351.47,0.088543,22284653.6,27200565.73333334,27211371.35,28452889.07777778,104757000000,104427000000,13931000000,26562000000,-2.55770247,-1.59836309,United States,0.40739048,1.91255791,10.71428571,2.48,0.68,0.81969684,21.06884775,7.70990144,7.30828189,98769000000,3.13253767,24.72640861,2126760000000,19.78642826,9.647,2.45,11.54283634,10.41751115,9.2252,-3.75277781,2.559816,336.10879574,334.68827419,331.34105579,304.87531102,16.09287573,32.858728,27.65341465,264.03347622,-11.03462037,-9.80848089,68.40167448,68.44901754,17.05910786,135620000000,36729000000,4.1691483,8.84279152,7.36635309,38.53203341,-25115000000,18.71521601,72738000000,11.40943683,9.3914395,-4.74218836,36.68633681,33.24806952,42.05527816,40.85100028,14.87179947,12.67609023,43.1449521,11.9310525,12.61914662,1.87898379,2023-04-25,40.50663071,49.38703569,12.36293943,13.15326772,19.0480133,38.6010341,27.59260333,17.95607063,897149.32126697,0.20854267,7.08468395,7.80755828,7323169488.059999,337.292,336.107,334.42533333,298.2229,9.30585807,380088000000,4.26166912,10.2960764,-4.71328909,163889000000,79312000000,1.70160928,1.70682602,198298000000,185405000000,198270000000,7435490000,2023-07-27,2.93965017,1.83585168,2.01352675,331.55,337.0359261,36.51061379,-2.16987529,25.31817667,336.4055,324.9134,269.7749,40.98010029,-18135000000,323.03593421,336.41790408,9.7036
GOOG,Alphabet Inc.,116.87,-2.72182454,-3.27,Sell,32959961,3852030642.07,1481149175308,25.9895926,4.521,190234,Technology Services,Internet Software/Services,126.7,116.64,1.1922303,129.55,103.27,9.30602319,103.52117581,129.55,88.86,29.76904286,129.55,83.45,152.1,24.31235,21597542.5,25089022.7,25801438.48333334,27028296.76666667,113762000000,115102000000,21879000000,25924000000,-3.38927007,-2.72182454,United States,0.11304591,2.35258663,,0,0,,-2.41412654,3.77558547,-4.60632257,87722000000,-7.95656052,15.90866801,1247980000000,-18.75969269,4.5575,1.17,11.54613703,-4.65437414,4.4968,-18.6570674,1.334181,119.52301255,121.10497315,120.68826474,113.0627848,-10.44887483,21.36537606,21.88831339,7.4973469,12.40208877,-10.25585272,55.06791277,55.18570242,5.54285597,154672000000,39552000000,-1.21137947,3.71846646,1.77813423,48.80972986,-85609000000,-21.12372259,59972000000,10.47416324,-8.42662448,-21.40087739,21.35184691,20.71346497,25.94784157,25.59352295,5.86257094,5.69894345,24.20649346,5.29839315,5.4753621,2.31896477,2023-04-25,30.11393841,39.96577636,14.06319537,14.50052149,16.1266304,22.75674017,20.64565464,9.08275337,1476471.08298201,-7.52994866,2.90847888,4.83584015,5084692998,120.226,120.129,122.89033333,109.71885,1.66894909,369491000000,1.15724517,3.4710554,5.15293953,161985000000,29493000000,-1.61457117,3.11516677,109120000000,108597000000,280875000000,12698000000,2023-07-25,3.00068587,1.95947919,1.95396939,117.52666667,122.03180387,30.10130246,-2.86735372,-0.57847724,121.9585,119.4783,102.843125,24.96031395,0,118.43997543,120.40646034,4.591
AMZN,"Amazon.com, Inc.",127.13,-2.04191709,-2.65,Neutral,61888918,7867938145.34,1304398714261,308.41824357,0.4192,1541000,Retail Trade,Internet Retail,131.85,123.53,1.4623246,131.85,97.705,26.12103175,47.47832139,131.85,88.12,39.81084351,146.57,81.43,188.65391,0.065624,46278904.9,58406700.03333333,62931448.15,60650550.73333333,70391000000,64796000000,54253000000,49734000000,-2.47775391,-2.04191709,United States,1.00163726,0.92309412,,0,0,,-19.27753195,-0.37698535,25,58196000000,4.43989807,23.96009544,1158720000000,-108.24895036,-0.2672,0.31,1035.55555556,181.1970339,0.4122,-80.11865143,0.353009,128.6674915,127.07468605,124.91024469,113.91530055,-14.71546924,-3.28668458,-1.63289179,-174.86686273,46.90829153,65.15570372,43.80533987,44.72763228,14.01371292,225152000000,59567000000,-6.28815053,19.26519171,16.62427723,52.9264152,89983000000,-108.15849419,-2722000000,1041.00719424,182.5182102,-79.94676131,-0.5295895,0.81806526,2.62868616,2.77959295,8.91562868,8.43935356,,2.50604235,2.5201759,0.691543,2023-04-27,43.87696741,53.72918763,14.24424543,15.0164699,0.9813231,2.97649787,1.58110335,9.39951726,333538.61129137,-14.64169861,9.3727457,9.86901044,8987853890,129.174,128.968,125.907,109.10485,10.01690647,464378000000,0.36807694,13.05143792,17.12087547,136221000000,154779000000,-0.12453863,19.56662804,316632000000,309852000000,513983000000,10260400000,2023-07-27,3.06953103,2.11978379,1.82869408,127.44166667,127.67835933,48.75965364,-2.82066962,10.93368237,127.7725,119.5559,104.321975,0.65689078,0,120.61931915,128.59420959,-0.2672
NVDA,NVIDIA Corporation,421.8,-0.75994636,-3.23,Buy,35390580,14927746644,1041845969848.9998,219.20798254,1.9378,26196,Electronic Technology,Semiconductors,439.9,386.18,1.7504381,439.9,262.2,52.1452919,573.99114048,439.9,154.92,166.29611648,439.9,108.13,439.9,0.333335,40565399.70000001,54160182.8,47270237.7,47182901.12222222,13296000000,15320000000,3389000000,5079000000,-0.28840244,-0.75994636,United States,0.49265905,3.42741047,0,0.16,0.04,0.03793267,-36.50468123,49.97029115,-29.00140647,6091000000,-51.4003032,170.51485304,687710000000,-54.70898646,1.7423,1.09,43.74562018,28.64534337,1.9242,-48.36025978,2.048581,422.03872929,411.29521764,397.91321414,321.39971659,-53.17265125,14.11729814,19.71172424,53.13398505,94.37956204,-35.64219026,56.92889449,56.31424376,-12.12589413,15356000000,4648000000,21.2627185,-14.4172344,-24.3982154,39.57100285,-3240000000,-55.20918786,4368000000,44.48373409,26.26699629,-49.32868168,16.19337139,18.52152407,20.67546526,17.37769534,47.06386426,42.54126038,205.89727504,40.58590308,39.20266182,2.7922865,2023-05-24,54.97250967,60.64223391,27.20768147,29.34925419,10.69007048,18.8552321,13.09884944,0.2229323,1029699.19071614,18.85638737,-13.22393822,-12.39971565,2370545450,423.032,418.265,408.582,307.1632,-6.80064272,44460000000,7.95978826,-1.66327524,2.94344143,24883000000,12080000000,0.40728119,3.25668861,19081000000,19940000000,26974000000,2470000000,2023-08-23,2.78998295,2.89819953,2.4627089,422.13333333,419.21215383,184.02127803,-0.79262413,173.36357745,418.984,361.8196,231.78465,17.72161682,-398000000,371.29346081,420.31642925,1.7563
TSLA,"Tesla, Inc.",269.61,-1.75636774,-4.82,Buy,119421956,32197353557.16,854529967559,79.32738988,3.7448,127855,Consumer Durables,Motor Vehicles,284.25,240.7,1.7784445,284.25,152.37,44.41587659,1196.24473654,284.25,115.6,120.82889672,314.666352,101.81,414.496252,0.998666,135384670.1,152892252.6,137902593.71666667,139429363.5,22479000000,22888000000,16547000000,16534000000,2.99499561,-1.75636774,United States,0.11599451,1.56717452,,0,0,,86.87147869,-24.65475223,-17.24291769,16806000000,31.5435191,49.8867647,703338000000,122.04304372,3.6213,0.85,-32.28574093,-23.92875851,3.3987,38.34975169,0.792789,272.0262635,256.65798188,245.58822848,211.43917724,51.73590207,9.28162824,6.70076132,-69.92957746,-80.7917229,-16.75090253,25.59843854,23.13477073,53.26326621,20853000000,4511000000,-21.91448849,-17.38095238,18.11761913,47.57051524,-17314000000,127.7878349,12583000000,-32.34819989,-23.99637791,40.43364308,15.44646584,13.70140059,16.97969605,14.98576161,19.0820974,17.77987928,162.18690026,10.86775708,11.50100354,1.04322788,2023-04-19,56.44556787,62.66680023,3.77476615,3.46486895,15.42215332,28.70256516,25.97419767,51.35165264,637143.63927887,-4.06694629,24.38153124,38.3421772,2755116400.5,276.576,264.965,244.45033333,201.6089,32.52321707,86833000000,5.45920474,31.48944547,-35.21920433,42997000000,5574000000,-3.02713987,-20.65480427,36440000000,37598000000,81462000000,3169500000,2023-07-19,4.68502452,3.7988571,3.02380516,270.74333333,260.26736331,127.57660167,-2.48833593,11.2559572,261.547,214.8572,193.848475,14.98576161,0,229.36756004,267.8129308,4.0201
META,"Meta Platforms, Inc.",294.1,1.22878877,3.57,Buy,37055676,10898074311.6,753823407148,36.48113921,8.082,86482,Technology Services,Internet Software/Services,298.13,265.33,1.3894778,298.13,207.13,36.48598478,43.51241887,298.13,131.76,124.57238852,298.13,88.09,384.33,17.55,25502152.1,24382593.4,23861108.98333334,25092862.18888889,41032000000,37663000000,14975000000,11775000000,2.48100913,1.22878877,United States,0.22647542,2.06780663,,0,0,,-22.80519006,-16.0178833,2.01310861,42044000000,-19.22382325,17.70581788,540796000000,-37.64832324,8.5862,2.2,24.80562965,-19.22130395,8.0617,-39.04473143,2.894373,291.23348269,282.3471427,275.73560138,235.25578141,-51.31404029,16.331501,14.96855453,30.87051939,-17.12796757,-55.84575551,79.62935965,79.54766247,-2.54513014,92855000000,22427000000,-11.32418647,2.39236634,-2.90920816,68.81747228,-9400000000,-41.07188214,23200000000,22.72141015,-23.52310784,-42.57057154,19.89554837,18.2733114,28.77565197,28.1134423,6.11533679,6.04720231,43.46618844,6.50626012,6.81472442,2.06780663,2023-04-26,66.12092188,66.86924911,28.83053624,29.58771496,12.29850678,17.29113832,14.88513188,-1.11931756,1348361.50875327,-10.94357221,2.64081984,-1.93872946,2203777012.25,291.402,287.633,277.243,229.48905,11.89249761,184491000000,-0.6654929,12.34517532,88.72284489,52483000000,28263000000,3.61096855,92.81620958,60014000000,59696000000,116609000000,2563150000,2023-07-26,3.85995471,2.68288906,3.22911473,293.09333333,284.75021294,139.45611464,2.58109522,73.02035534,282.9705,262.1633,179.112725,23.19465512,0,262.59090924,288.43118548,8.6342
V,Visa Inc.,238.16,0.72319729,1.71,Strong Buy,4858862,1157186573.92,488228695472.9999,32.43316855,7.5296,26500,Commercial Services,Miscellaneous Commercial Services,240,221.37,0.8886227,240,216.14,4.91629956,76.49325626,240,208.76,7.6234805,240,174.6,252.67,10.445,5683583.1,7442255.46666667,6619925.75,6662059.55555556,20868000000,19141000000,18035000000,16389000000,0.2863399,0.72319729,United States,0.53431868,1.50060219,17.1875,1.5,0.45,0.7557944,23.92376142,-1.56662559,11.1950686,21723000000,14.57278481,22.62941101,475238000000,24.80093293,6.8492,2.09,2.41179784,20.17064231,7.3431,18.06765926,2.114403,237.24037034,232.34455451,230.99560463,226.41661267,23.1166506,60.99965882,58.64506342,-6.93523712,13.28367474,18.92139538,77.50255885,76.99383533,23.92122634,22716000000,6057000000,-2.21181789,8.82141574,14.29187428,54.89547151,1465000000,21.83544304,14630000000,1.97320341,17.41935484,15.09588227,49.91470488,49.97902075,67.38314568,67.15295485,14.81254812,13.31553158,27.43362025,16.088464,17.35618424,1.50060219,2023-04-25,67.79738428,63.34665265,,,18.37295255,41.54036001,27.49491739,21.59303049,1106037.73584906,0.61743952,11.07247183,15.02023239,1613599981.9,238.182,234.431,228.576,226.8112,3.1424918,86755000000,1.60211742,6.04708586,6.35736445,28657000000,20606000000,0.58085615,-2.00218766,49920000000,48190000000,29310000000,2049999500,2023-07-25,1.11868922,1.44871251,1.46835341,237.91856667,229.67188432,13.79969419,0.48945148,17.71451166,230.381,229.2394,216.6902,61.16902818,-3203000000,229.54969528,235.15989735,7.0186
UNH,UnitedHealth Group Incorporated,463.05,0.31847134,1.47,Sell,4339421,2009368894.05,431114348095,21.17758437,22.1501,400000,Health Services,Managed Health Care,494.66,445.68,0.22448096,530.45,445.68,-10.28596892,83.65525721,530.45,445.68,-4.58282676,558.1,445.68,558.1,0.08203126,3663600.5,4196419.16666667,3453709.76666667,3388139.25555556,,,23365000000,41913000000,-3.65970373,0.31847134,United States,0.86811295,0.80609021,14.28571429,6.4,1.65,1.6240147,,,,,,,525550000000,17.13724731,21.179,6.26,18.35305818,12.91987703,21.8651,19.65731047,6.041956,467.432752,474.79090552,477.26797096,486.15026767,17.67308563,7.21984687,10.18235182,388.33117244,226.76322418,78.01311407,,,,,,,,,37.69089032,28675000000,16.40150419,20120000000,17.85339214,11.61726676,18.64756447,6.20677316,6.16293192,8.77184864,8.80235992,5.56098183,5.30748938,12.76511094,1.29978851,1.35702982,,2023-04-14,32.89521276,39.49428504,,,8.20095184,26.87469983,16.20468749,12.71397129,810405,11.04521241,14.70012102,12.90337758,927482906.016,468.618,473.624,479.261,484.0521,16.01268111,283679000000,13.33469169,28.22345167,24.22030392,93895000000,70588000000,13.0257954,48.6282189,163955000000,193057000000,324162000000,931032000,2023-07-14,0.85806672,1.56751822,1.30111577,461.77003333,471.32614087,-11.82183459,-3.14787701,-9.615272,475.0095,482.4774,500.1945,8.08408544,-5991000000,480.49364793,471.03674096,21.4728
LLY,Eli Lilly and Company,453.16,0.23889577,1.08,Sell,2011375,911474695,430172533144,73.2166804,6.2017,39000,Health Technology,Pharmaceuticals: Major,469.87,438.68,0.3281566,469.87,363.33,23.2216663,417.30593607,469.87,309.2,27.8884687,469.87,296.32,469.87,2.039063,2685699.1,2670724.16666667,2995699.06666667,3111398.61111111,2211800000,3669300000,2067000000,3545900000,-3.37327818,0.23889577,United States,1.68748213,1.29990006,15.29411765,3.92,1.13,0.9974402,7.77510252,-21.22027635,-34.7451424,8758600000,-13.1504839,50.86330385,325530000000,12.75316869,6.9032,1.62,-26.98965331,-29.07973707,6.1893,-8.21147857,1.990091,457.49970326,454.33989317,448.43590193,408.35145758,-12.11245358,18.32460916,15.01693667,-1.56626506,-50.22495079,-37.81924756,76.77128662,77.66671241,4.31313554,21911600000,5333300000,-7.30660271,-7.05136025,-1.41865102,50.10812244,15214300000,11.87989322,6244800000,-30.59297105,-29.32366388,-7.21942147,21.87979567,20.5363398,29.0118915,26.39628188,40.43122115,38.45726259,98.43676125,14.78218609,14.36289551,1.01602748,2023-04-27,43.00929855,52.28613116,25.19427919,27.32183999,11.36424722,55.42365944,20.84810447,0.78747387,731830.76923077,-4.68103755,-10.88348271,-5.56358874,846281625.865,459.114,460.5,449.02933333,390.8517,1.40105725,53163000000,7.42213547,13.30731703,-3.82654119,20811400000,18883600000,16.28834998,14.38505524,38714400000,41868100000,28541400000,949273000,2023-08-08,1.102933,1.81779731,1.67908406,452.51333333,455.98559635,23.72631464,-2.80959122,38.77201041,455.645,439.8682,370.3441,22.6875492,-3535800000,434.97153069,458.19673261,6.9253
