Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Industry,1-Month High,1-Month Low,1-Year Beta,3-Month High,3-Month Low,3-Month Performance,5Y Performance,6-Month High,6-Month Low,6-Month Performance,52 Week High,52 Week Low,All Time High,All Time Low,Average Volume (10 day),Average Volume (30 day),Average Volume (60 day),Average Volume (90 day),Cash and short term investments (FY),Cash and short term investments (MRQ),Cash & Equivalents (FY),Cash & Equivalents (MRQ),"Change 1M, %","Change 1W, %",Country,Debt to Equity Ratio (MRQ),Current Ratio (MRQ),Dividends per share (Annual YoY Growth),Dividends per Share (FY),Dividends per Share (MRQ),Dividend Yield Forward,EBITDA (Annual YoY Growth),EBITDA (Quarterly QoQ Growth),EBITDA (Quarterly YoY Growth),EBITDA (TTM),EBITDA (TTM YoY Growth),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),EPS Diluted (MRQ),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Quarterly YoY Growth),EPS Diluted (TTM),EPS Diluted (TTM YoY Growth),EPS Forecast (MRQ),Exponential Moving Average (5),Exponential Moving Average (20),Exponential Moving Average (30),Exponential Moving Average (100),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow Margin (TTM),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Quarterly YoY Growth),Free Cash Flow (TTM YoY Growth),Gross Margin (FY),Gross Margin (TTM),Gross Profit (Annual YoY Growth),Gross Profit (FY),Gross Profit (MRQ),Gross Profit (Quarterly QoQ Growth),Gross Profit (Quarterly YoY Growth),Gross Profit (TTM YoY Growth),Money Flow (14),Net Debt (MRQ),Net Income (Annual YoY Growth),Net Income (FY),Net Income (Quarterly QoQ Growth),Net Income (Quarterly YoY Growth),Net Income (TTM YoY Growth),Net Margin (FY),Net Margin (TTM),Operating Margin (FY),Operating Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Quick Ratio (MRQ),Recent Earnings Date,Relative Strength Index (7),Relative Strength Index (14),Research & development Ratio (FY),Research & development Ratio (TTM),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue (Annual YoY Growth),Revenue per Employee (FY),Revenue (Quarterly QoQ Growth),Revenue (Quarterly YoY Growth),Revenue (TTM YoY Growth),Shares Float,Simple Moving Average (5),Simple Moving Average (10),Simple Moving Average (30),Simple Moving Average (100),Total Assets (Annual YoY Growth),Total Assets (MRQ),Total Assets (Quarterly QoQ Growth),Total Assets (Quarterly YoY Growth),Total Debt (Annual YoY Growth),Total Current Assets (MRQ),Total Debt (MRQ),Total Debt (Quarterly QoQ Growth),Total Debt (Quarterly YoY Growth),Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding,Upcoming Earnings Date,Volatility,Volatility Month,Volatility Week,Volume Weighted Average Price,Volume Weighted Moving Average (20),YTD Performance,Weekly Performance,Yearly Performance,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (200),Pretax Margin (TTM),Dividends Paid (FY),Exponential Moving Average (50),Exponential Moving Average (10),Basic EPS (FY),Monthly Performance,Change from Open %
700,TENCENT HOLDINGS LIMITED,348,2.35294118,8,Strong Buy,20472189,7124321772,3226984160156,15.77387158,22.5115,108436,Technology Services,Internet Software/Services,364.39999,320,1.5319682,372,306,-5.02183147,-0.6580241,416.60001,306,-4.55293734,416.60001,188.6259214,714.89894419,0.62225247,15804293.6,18386023.86666667,18567452.38333333,20220128.17777778,328133045434.93,391005040229.341,179101692233.554,179577237556.117,4.94571457,6.55235436,China,0.46511741,1.52765822,50,2.4,0,0.7189935,-8.60666835,24.73821604,28.17864337,203814063530,3.77010345,16.29644062,3820130000000,-19.20287132,22.579,3.83271464,-74.93949541,2.30764025,22.0618,-11.9479234,4.05345791,338.88626202,337.05722701,337.61908675,339.94128298,-17.88497536,22.49888198,,,,,41.96270142,42.68982561,-6.72124506,270607571038.17795,75778327607.9552,11.51984581,12.53583734,3.43231559,48.92987337,22618219256.8233,-19.21119444,218903680603.94,-74.65758425,2.83659501,-11.90841122,33.94505835,32.9282684,18.54127296,20.54512814,4.07719298,3.71345409,,5.16530735,5.23179301,1.52116651,2023-05-17,68.57300555,58.05893464,11.07218079,10.75560322,11.97558768,23.16502234,16.48341283,-4.47129176,5947069.51927378,7.84801184,3.1692435,-4.27372388,6196967255.88414,335.439998,334.819999,338.3,347.5339997,-10.16650673,1733156462917.56,-2.18271225,-6.0485693,1.90165872,541670938837.431,413623259486.164,2.57956706,-1.17807397,892882372865.63,772027220959.421,644876430391.9719,9494750443,2023-08-16,3.05475504,2.44815734,2.08241047,348.53333333,341.55450368,9.70102083,4.75616783,8.21069071,339.7399995,335.8919994,320.69451739,39.662234,-15061598418.970299,339.4030491,336.95998727,22.9748,2.47349522,-0.57142857
1299,AIA GROUP LIMITED,81,3.05343511,2.4,Buy,15327207,1241503767,892804995117,409.29762506,0.1979,,Finance,Multi-Line Insurance,83.050003,76.349998,1.0260656,86.800003,74.849998,-4.31187468,17.39130435,90.650002,74.849998,-9.24369748,93.650002,57.25,109.3,19.84,16257217.9,18377618.23333334,18020260.68333333,19812024.8,,,62595699000,62595699000,2.40202535,5.81318984,Hong Kong,0.35040424,1.22661678,5.26027397,1.5368,,1.9829679,,,,,,,,-96.12654676,0.185,0.54640543,,,0.1979,-94.66562441,2.1948734,79.00715332,79.21794391,79.49031604,80.65059947,166.95101461,22.0662347,22.08002915,,,305.00065598,,,,,,,,,57.60460861,41592578550,-96.17488055,2208197939.53681,,,-95.05762289,0.67674586,0.67882964,4.39164867,4.39605477,3.2002301,3.2002301,13.20775818,2.91627686,2.96349501,,2023-03-09,63.52707962,55.49442985,,,0.08974388,0.57624101,0.47239265,-7.05192092,,,,-1.28485711,11505488259.5495,78.060001,78.9550005,79.69000023,81.43099995,-10.93708875,2325297533700,,,14.70097609,125386521750,104188277550,,,2024416711200,2024416711200,326296482767.726,11517339602,2023-08-25,3.1835206,2.00242304,1.8522601,80.75,79.34199489,-6.46651054,2.27273115,-3.57142857,79.49000025,79.76899998,79.28524999,1.25792301,-17689074983.7363,80.02296023,78.92392916,0.1851,-0.30769231,-0.18484288
3690,MEITUAN,134,5.26315789,6.7,Buy,36027379,4827668786,796914833867,309.11188005,0.4335,92046,Transportation,Air Freight/Couriers,139.8,117.3,1.6397922,142.2,109.2,2.05635948,81.08108108,185,109.2,-22.5433526,197.8,109.2,460,40.25,19530389.1,25560385.76666667,25939896.15,29161368.65555556,142180930723.586,142381200160.284,39031157475.8189,45810751655.2748,9.56663941,12.51049538,China,0.42974439,1.82867249,,0,0,,,294.00085281,,9573013290,,75.24798285,819075000000,73.12178096,-1.2629,1.01454917,,,0.4335,,0.64948951,127.1530978,125.89340799,126.41680066,134.1437038,,3.34292502,,,,,26.86878724,30.51560407,42.16123475,68725202589.991,22703282496.2368,21.98172848,71.94010843,45.10946645,65.24944965,-76501340255.4622,72.59258192,-7775131547.642179,,,,-3.0397634,1.02662048,-4.14672554,-0.49901163,5.74035107,5.45561955,,3.15135868,3.22535423,1.81521367,2023-05-25,71.17822743,60.16673721,9.14176207,9.01291693,0.95489735,1.7991761,1.34199204,18.47901232,2778836.81578248,1.60969988,18.0552051,16.11822525,4264851965,124.7,124.49,125.98,131.4569999,-6.75790586,285600437329.394,4.04813746,0.19232174,-9.51296421,160635034103,65879859904.8218,1.01594793,-13.89582603,129985729188.724,132363886716.023,255780813545.514,6260129783,2023-08-25,6.1784897,3.46218055,3.10833039,133.5,129.58215218,-22.5433526,8.94308943,-25.1396648,127.185,127.3020002,146.48649995,1.05484034,0,128.12865481,125.81281824,-1.2629,5.01567398,1.90114068
9633,NONGFU SPRING CO LTD,43.7,1.50987224,0.65,Strong Buy,1542582,67410833.4,484160374413,49.50719384,0.8827,20000,Consumer Non-Durables,Beverages: Non-Alcoholic,44.450001,41.900002,0.3293616,44.450001,40.849998,1.5098746,9.79899773,46.700001,40.849998,-0.68181818,48.650002,38,68.75,31,2460077.9,3226517.33333333,3618489.36666667,3930694.73333333,17081604120.466902,17081604120.466902,17081604120.466902,17081604120.466902,1.04046243,3.80047999,China,0.10483898,1.2575126,45.36804546,0.77,,1.8011696,4.13739368,,,13934786400,43.30760179,33.72234196,,14.48859935,0.8787,0.37903559,,,0.8827,67.65432099,0.49710433,43.13099629,43.0310372,42.96791974,43.11420652,-16.54074519,23.29559987,22.44211576,,,21.94349947,57.42217462,57.488837,4.35177364,22195465435.9032,,,,46.80980974,58.35550497,-14246742359.674599,14.45255645,9878941010.5588,,,67.62078605,25.55793558,25.63872525,28.39899484,28.53935771,18.16911832,18.16911832,56.54541538,12.68998758,12.71039658,,2023-03-28,60.56751446,55.75888505,0.83385313,0.82711088,23.54567467,37.87674075,37.81326864,7.99848403,1932656.29388148,,,50.60729506,1773146400.47534,42.7899992,43.174999,42.9933333,43.25449991,9.52346929,44072970821.95001,,,-10.52760818,20615164798.675102,2834861760.7923203,,,16705632256.5344,16705632256.5344,38653125877.6296,11242487784,2023-08-23,1.9790454,1.99771254,1.81622472,43.48333333,43.19517676,1.62790698,0.6912396,-2.67261013,43.18249985,42.58800004,43.38224986,33.36651369,-5883138022.71342,42.94939974,43.08157847,0.8787,2.46189437,1.50987224
89618,JD.COM INC,137,5.30361261,6.9,Strong Buy,5250,719250,381698861198.7042,22.185157,7.16613444,450679,Retail Trade,Internet Retail,141.39999,122,,141.39999,122,-4.39637125,-4.39637125,141.39999,122,-4.39637125,141.39999,122,143.39999,122,6895,,,,255945304500,232283254700,96303366749.99979,92325763899.99988,11.29163282,9.86367281,China,0.31239303,1.36102078,,,,,156.88064091,18.80816572,93.94756187,33622260980,181.68007889,8.92812402,,,3.69214764,,106.36201656,,7.05880017,,,131.06403368,,,,66.46405808,3.76941723,,,,,13.89562202,14.09192815,13.95370711,164491332449.99548,40661286039.99886,-13.44801577,7.61783748,12.15175657,41.54219976,-156757190590,,11744451000,106.49736148,,,0.99212797,1.8705391,1.7533329,2.08568159,1.76983605,1.78137439,,0.41509732,0.41652304,1.06566569,,65.67403447,47.94444328,1.58874288,1.55992595,3.69292932,9.39339132,7.99444559,9.94585915,2626622.76742426,-17.76636001,1.37739667,6.22080963,,129.320002,128.25,,,19.88753431,629872720519.9988,-7.42780344,7.58534514,88.68389754,348767803050,75526064109.9999,1.58044431,24.30718868,363339144149.9989,316665825169.9989,1183763722200,2687430000,,5.67163433,7.13785339,1.84631822,136.23333333,,-4.39637125,7.11493354,-4.39637125,,,,2.49576718,-14807286150,,129.85028639,3.75754545,-4.39637125,2.16256525
388,HONG KONG EXCHANGES & CLEARING,302,3.9229181,11.4,Buy,4816238,1454503876,362093987832,35.35182085,8.5486,2380,Finance,Investment Banks/Brokers,319,280,1.3686255,350,280,-13.01843568,30.73593074,378,280,-19.0782444,382.39999,208.2,587,7.6,3993508.6,3588802.46666667,3591343.95,3713443.82222222,276369979000,265072000000,184945979000,173681000000,2.30351957,7.0162967,Hong Kong,0.04498348,,-19.50394589,7.14,,2.4947588,-18.62224663,10.77405858,21.16704805,14059000000,-6.49773876,7.08549597,178144000000,-19.61067853,7.9497,2.69,14.40465571,27.74273111,8.5427,-4.64246646,2.382401,293.1978826,297.11138231,300.04044215,313.26604885,2.1979086,171.57022107,,,,,87.17490247,87.56986131,-14.09578728,16089000000,4958000000,8.3715847,20.19393939,-2.95348971,43.84047755,-262880000000,-19.60111687,10078000000,14.40080564,27.73613193,-4.79626859,54.60554833,55.9821983,64.35847421,65.1469675,7.6850083,7.84255881,,19.77644768,20.74407499,,2023-04-26,61.79550107,52.57652025,,,2.1588096,22.59492878,21.85476621,-11.90453461,7754621.8487395,6.8640646,18.50746269,-1.82889657,1190150628.35904,288.760002,293.020003,301.633333,318.7239996,1.68969006,379496000000,-6.53981889,-39.05861836,-10.02012072,,2192000000,-1.96779964,-9.00788709,355952000000,330366000000,18456000000,1265433817,2023-08-16,4.73933649,2.23826823,2.56225554,300.66666667,298.69238176,-8.65094045,2.30351957,-17.03296703,299.3700015,303.8959992,312.483,63.72386669,-9665000000,305.30680061,293.77949091,7.9637,-2.70618243,1.82063385
2015,LI AUTO INC,145.3,-0.27453672,-0.4,Buy,4118813,598463528.9000001,279404132396,,-0.6599,19396,Consumer Durables,Motor Vehicles,149.8,122.5,1.6152877,149.8,86.800003,52.22630127,23.13559322,149.8,80.099998,65.39556438,155.60001,52.049999,165.3,52.049999,6107882.2,6496815.3,6649514.05,7612300.74444445,65623637194.8372,74248195501.16779,45379073073.0757,51730276623.4056,7.23247232,5.90379009,China,0.26102534,2.16443608,,0,0,,-451.68769392,17.4939199,,,,,146207000000,-476.74641148,-1.2054,0.759814,274.53737972,,-0.7072,-33576.19047619,0.974043,143.19666526,137.07344994,132.74575358,114.01636041,-48.25430071,4.97356008,,,,,19.10836258,20.49809366,48.44901665,10063046723.969301,4387854552.6743,11.93883156,64.94095234,43.00633442,69.84922638,-60442585071.9384,-503.98389086,-2339960952.95154,277.1300752,,-3458.11522166,-4.44326888,-2.03966385,-8.07050997,-5.43028251,5.63823413,5.36903129,,4.93410699,5.35595372,1.97892632,2023-05-10,66.40617797,65.73179434,14.85183237,13.31529999,-1.34046953,-2.42949431,-1.99701576,61.77891395,2715150.08135198,10.94524045,83.08558236,54.55608568,1030767984.6610898,141.799996,141.77,132.67000067,108.04550012,28.42005945,107393626254.706,10.53321334,32.20628164,11.14589184,83466959006.5557,13805610429.2294,0.26075794,21.87937006,46427134922.0766,54124704142.3198,52663050977.903,1954357998,2023-08-28,3.9555864,4.32259096,3.89561618,146.4,138.72035063,88.09061489,3.56379187,0.20689655,138.2650005,122.82200046,94.97200006,-2.28292934,0,125.32043009,141.23552221,-1.2054,18.32247557,-2.61394102
16,SUN HUNG KAI PROPERTIES LTD,98.1,1.81629476,1.75,Neutral,2329432,228517279.2,279201124924,15.13445132,6.4819,40500,Finance,Real Estate Development,103.2,92.150002,0.48836166,111.1,92.150002,-11.62162162,-16.15384615,115.9,92.150002,-10.24702653,115.9,83.099998,175.39999,33.599998,3163848.7,2744468.26666667,2663889.86666667,2793795.44444444,21021000000,18526000000,18332000000,15736000000,-0.60789971,3.1545763,Hong Kong,0.22300402,,0,4.95,,5.14553,-8.6512003,,,31879000000,-29.86227229,12.49029533,,-4.21973917,8.8205,3.27,,,6.4819,-13.35979897,5.64,96.79785326,98.30050745,99.36527446,102.6167244,-10.31827112,14.53795001,23.4417635,,,,51.63698438,52.31474385,-9.37262442,40534000000,,,,-28.75216602,48.37283651,114177000000,-4.21944091,25560000000,,,-13.35793358,32.56133914,28.79480026,42.61764631,41.86773768,0.47229119,0.47774851,18.58960534,4.35773132,3.62139475,,2023-02-23,53.92708135,46.86031762,,,2.33333354,3.14154952,2.67419686,-7.90943219,1938222.22222222,,,-28.22989669,1670361529.84,95.8599996,97.195,99.6966666,104.88499995,1.3997657,801750000000,,,6.8831782,,132703000000,,,200823000000,201880000000,78498000000,2897780000,2023-09-07,2.11995863,2.00757376,2.32824723,97.73333333,97.92212678,-7.71401693,-0.65822785,5.48387097,98.46999975,101.7139999,101.52374987,32.59649876,-14344000000,101.02019861,97.14424137,8.8205,-4.75728155,1.34297521
1810,XIAOMI CORPORATION,11.5,3.6036036,0.4,Buy,74222061,853553701.5,277965480456,34.9863097,0.3303,32543,Electronic Technology,Telecommunications Equipment,11.52,9.86,1.1534777,12.76,9.86,-5.73770492,-42.32698384,14.1,9.86,-2.37691002,14.1,8.31,35.900002,8.28,58966129.6,63950439.86666667,59580511.26666667,63990914.38888889,80538359189.3134,86207954761.19969,35438210600.666,34732543202.44911,7.2761194,6.48148148,China,0.15168117,1.99714751,,0,0,,-60.61617096,591.79294314,,9786061250,,22.24904837,241431000000,-87.55609062,0.1137,0.19432195,40.71376548,,0.3287,-36.43395862,0.10236999,11.12827432,10.91471932,10.90544114,11.17064766,-400.25578853,-3.4391308,,,,,16.18123881,17.45060336,-22.40106392,52695349919.8489,13279556762.549,6.19080919,-15.01326635,-25.93620977,80.73030394,-60546318165.5886,-87.65659729,2876995547.9065104,39.04350481,,-37.62734459,0.88344327,2.70245909,1.97042882,1.80217858,1.77757443,1.69467298,,0.94095436,0.89333204,1.43675546,2023-05-24,70.83557,61.6833607,5.18515704,6.2372279,2.49592577,4.87881775,4.25868632,-17.69722555,10006977.8647874,-6.13879138,-24.44088167,-22.64013589,16300844104.71,10.988,11.002,10.823,11.3873,-14.29230922,301801790104.324,-1.71801324,-15.70273804,-19.0094593,173409218321.755,25661636595.6111,-12.28066416,-30.0502091,145489278787.556,132308978132.941,325657080653.775,25025957425,2023-08-23,3.77697842,3.12949167,2.95474905,11.38,10.82831762,5.11882998,4.54545455,-9.30599369,10.8335,10.8594,11.00665,3.78180449,0,10.98406112,11.00853232,0.1159,8.49056604,2.67857143
267,CITIC LIMITED,8.75,2.69953052,0.23,Sell,9292406,81308552.5,247558150506,3.37225884,2.5947,161408,Finance,Finance/Rental/Leasing,10.26,8.42,0.34505957,10.86,8.42,-7.40740741,-17.45283019,10.86,8.42,0,10.86,7.01,51.700001,3.66,8333302.1,9002910.43333333,10322258.8,9890334.36666667,1049205000000,1049205000000,875351000000,875351000000,-6.4171123,2.94117647,Hong Kong,4.76957373,0.18567563,7.42574257,0.651,,7.649824,6.51406381,,,148606000000,38.6340526,22.59359077,,7.48550124,2.5947,1.46,,,2.5947,33.29394842,1.23,8.66793095,9.11339384,9.26390356,9.29390625,29.99665343,-14.37689737,-14.37689737,,,-136.47882968,46.38771781,46.38771781,14.86744249,357711000000,,,,29.30372609,40.19881719,2467168000000,7.48910598,75481000000,,,33.29271738,9.78832445,9.78832445,26.32762442,16.21795462,0.34525523,0.34525523,,0.33008547,0.33008249,,2023-03-31,40.12349076,38.71413094,,,0.67154751,10.14081139,5.40465841,8.77328842,4777538.90761301,,,39.45825022,6304188003.3,8.544,8.9,9.40366667,9.4063,10.37551655,11794199000000,,,7.15765223,1707879000000,3516373000000,,,10414131000000,10414131000000,771133000000,29090300000,2023-08-31,3.8372093,2.95808907,2.52341802,8.73333333,9.27752465,8.29207921,-4.68409586,6.70731707,9.302,9.6386,8.6925,17.50320632,-19083000000,9.37907867,8.84178368,2.5947,-10.62308478,1.15606936
