Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Industry,1-Month High,1-Month Low,1-Year Beta,3-Month High,3-Month Low,3-Month Performance,5Y Performance,6-Month High,6-Month Low,6-Month Performance,52 Week High,52 Week Low,All Time High,All Time Low,Average Volume (10 day),Average Volume (30 day),Average Volume (60 day),Average Volume (90 day),Cash and short term investments (FY),Cash and short term investments (MRQ),Cash & Equivalents (FY),Cash & Equivalents (MRQ),"Change 1M, %","Change 1W, %",Country,Debt to Equity Ratio (MRQ),Current Ratio (MRQ),Dividends per share (Annual YoY Growth),Dividends per Share (FY),Dividends per Share (MRQ),Dividend Yield Forward,EBITDA (Annual YoY Growth),EBITDA (Quarterly QoQ Growth),EBITDA (Quarterly YoY Growth),EBITDA (TTM),EBITDA (TTM YoY Growth),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),EPS Diluted (MRQ),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Quarterly YoY Growth),EPS Diluted (TTM),EPS Diluted (TTM YoY Growth),EPS Forecast (MRQ),Exponential Moving Average (5),Exponential Moving Average (20),Exponential Moving Average (30),Exponential Moving Average (100),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow Margin (TTM),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Quarterly YoY Growth),Free Cash Flow (TTM YoY Growth),Gross Margin (FY),Gross Margin (TTM),Gross Profit (Annual YoY Growth),Gross Profit (FY),Gross Profit (MRQ),Gross Profit (Quarterly QoQ Growth),Gross Profit (Quarterly YoY Growth),Gross Profit (TTM YoY Growth),Money Flow (14),Net Debt (MRQ),Net Income (Annual YoY Growth),Net Income (FY),Net Income (Quarterly QoQ Growth),Net Income (Quarterly YoY Growth),Net Income (TTM YoY Growth),Net Margin (FY),Net Margin (TTM),Operating Margin (FY),Operating Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Quick Ratio (MRQ),Recent Earnings Date,Relative Strength Index (7),Relative Strength Index (14),Research & development Ratio (FY),Research & development Ratio (TTM),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue (Annual YoY Growth),Revenue per Employee (FY),Revenue (Quarterly QoQ Growth),Revenue (Quarterly YoY Growth),Revenue (TTM YoY Growth),Shares Float,Simple Moving Average (5),Simple Moving Average (10),Simple Moving Average (30),Simple Moving Average (100),Total Assets (Annual YoY Growth),Total Assets (MRQ),Total Assets (Quarterly QoQ Growth),Total Assets (Quarterly YoY Growth),Total Debt (Annual YoY Growth),Total Current Assets (MRQ),Total Debt (MRQ),Total Debt (Quarterly QoQ Growth),Total Debt (Quarterly YoY Growth),Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding,Upcoming Earnings Date,Volatility,Volatility Month,Volatility Week,Volume Weighted Average Price,Volume Weighted Moving Average (20),YTD Performance,Weekly Performance,Yearly Performance,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (200),Pretax Margin (TTM),Dividends Paid (FY),Exponential Moving Average (50),Exponential Moving Average (10),Basic EPS (FY),Monthly Performance,Change from Open %
AMGN,Amgen Inc.,227.43,-0.10102785,-0.23,Buy,2044668,465018843.24,121521900393.22495,15.45607764,14.8081,25200,Health Technology,Biotechnology,231.9499,218.44,0.55855876,251.5,211.71,-9.25305243,16.6367506,273.83,211.71,-16.05890603,296.67,211.71,296.67,0.078124,2305498.3,2624448.03333333,2403567.25,2416788.67777778,9305000000,31561000000,7629000000,31560000000,2.43671741,4.01554997,United States,11.51738968,3.14477664,10.22727273,7.76,2.13,3.746208,0.36653386,-9.48022229,-16.44538322,12235000000,-5.10354456,12.39712264,160096000000,17.75876319,12.1109,3.98,76.13488543,97.12931163,14.7146,44.96285934,4.480695,225.99057869,224.57446525,224.93808206,232.68490791,4.82042716,33.66932393,29.03909925,-68.81766999,-63.52583587,-10.52631579,75.44841331,74.68574073,0.78328982,19686000000,4333000000,-13.51297405,-6.8172043,-2.03328107,55.00631732,30034000000,11.18275921,6552000000,75.80445545,92.4796748,38.33653678,25.11114518,30.52749287,35.77724973,33.66622966,33.17332306,22.72173246,16.24715708,4.71802807,4.71560747,2.7922617,2023-04-27,60.70028712,54.84696698,16.99371455,17.47898512,10.7047243,252.77777778,15.36759354,0.40404818,1035396.82539683,-10.41882492,-2.54387377,-1.37663523,533119955.3070001,225.872,224.39,223.40166667,232.0289,6.46775116,88720000000,36.23869412,49.87499155,16.66029018,44703000000,61595000000,55.38597376,67.13246866,61460000000,83372000000,26092000000,534327000,2023-08-03,1.19490175,1.82630033,1.82173513,227.35,225.51542074,-12.8186453,2.51059227,-7.1790058,225.2105,224.9116,247.1306,35.13919951,-4196000000,226.88023782,225.0502371,12.1784,1.86777748,-0.17995084
GILD,"Gilead Sciences, Inc.",77.19,0.62573328,0.48,Buy,6072293,468720296.6699999,96283160186.7947,17.44367359,4.4555,17000,Health Technology,Biotechnology,79.53,74.33,0.55139863,87.37,74.33,-7.03360231,-0.27131783,87.82,74.33,-9.76151508,89.74,59.27,123.37,0.207031,5001861.2,5683901.43333333,5614351.33333333,5545311.21111111,6858000000,6266000000,5412000000,4936000000,0.15570261,3.72211771,United States,1.20202886,1.2781155,2.81690141,2.92,0.75,3.8865137,4.97102277,-15.21212121,-17.94721408,12669000000,-0.22052453,9.04565718,123540000000,-26.23160199,3.6387,1.37,-38.26589595,5204.63576159,4.4251,23.61995754,1.681601,76.59071028,76.76552747,77.13110089,78.874705,-22.77649236,30.80671959,31.24231701,-31.43336127,2.69930948,-15.73394956,79.11390068,80.60718942,3.16306389,21428000000,4927000000,-22.28706625,-4.218507,1.38212144,56.91604709,18973000000,-26.23293173,4592000000,-38.35365854,5221.05263158,23.67663344,16.9540336,20.80089402,39.7157098,38.93089961,4.53182316,4.58794664,11.60565041,3.62587409,3.59659516,1.12841945,2023-04-27,58.22575702,51.00301199,18.45301828,19.66846713,8.93754602,27.28961001,12.53943838,-1.04851673,1593235.29411765,-13.40996169,-3.65408039,-2.3534119,1246375819.65,76.418,76.3775,77.0725,79.6207,-7.03584883,61876000000,-2.04999129,-1.90868738,-7.53161078,13456000000,25239000000,0.03567182,-3.69734432,41962000000,40937000000,27085000000,1247350000,2023-08-01,1.53675124,1.57351043,1.50593077,77.095,77.01921818,-9.27362482,2.0222046,24.84230956,76.86475,77.5818,80.0347,27.06649283,-3709000000,77.8855083,76.50258009,3.659,-1.08918503,0.75708132
VRTX,Vertex Pharmaceuticals Incorporated,352.74,1.0658415,3.72,Buy,961397,339123177.78000003,90848750367.27762,28.09983191,12.7013,4800,Health Technology,Pharmaceuticals: Major,354.94,335.82,0.44241622,354.94,316.43,5.94065353,97.77964676,354.94,283.6,19.01211242,354.94,271.61,354.94,3.25,955726.2,1179709.5,1243724.05,1185930.11111111,10786500000,10419800000,10512000000,9295600000,0.23585576,4.30539949,United States,0.0546829,4.28448219,,0,0,,44.09800314,-24.2172585,-24.33282501,3986500000,30.39287292,20.13296336,72382100000,42.27709038,12.8213,3.05,-14.54545455,-9.02199662,12.5531,32.30083366,3.833009,348.20641255,345.32509925,343.6075944,330.42147488,62.97280465,44.8686587,43.11361319,-17.89816233,-3.89872283,58.72892825,87.65117396,87.79422847,14.44285245,7667900000,2085900000,6.03395689,13.88403582,13.44441307,65.60999997,-9630600000,41.83852099,3322000000,-14.54390035,-8.17478021,32.99187451,37.97352598,36.12416331,46.64273793,42.50299215,6.51622489,6.29379913,23.60122918,10.17534266,10.44728447,4.10765977,2023-05-01,64.32899532,59.58706806,30.20964313,34.54275455,19.61884184,25.72841397,24.14503167,15.04129188,1822541.66666667,4.54565652,13.25695581,13.63281474,256697442.464,346.804,346.576,342.48733333,326.1952,35.12674484,18974200000,4.53586324,33.09530657,-6.99813934,12965700000,789200000,-12.28187174,-9.54727794,4238200000,4541900000,8748200000,257552000.00000003,2023-08-01,1.49922454,1.82533912,1.70453512,351.44,346.87834276,22.22029729,2.04825551,23.50407899,346.8695,341.7482,314.7972,46.20218095,0,339.77514444,346.95140514,12.9715,2.95070484,1.11799106
REGN,"Regeneron Pharmaceuticals, Inc.",718.52,-0.34120225,-2.46,Sell,621537,446586765.24,78815978983,19.518052,39.0286,11851,Health Technology,Pharmaceuticals: Major,794,684.805,0.7009564,833.62,684.805,-13.31016843,96.15615616,837.55,684.805,0.53871017,837.55,563.82,837.55,3,658084.9,675882.1,614558.35,613433.15555556,7742300000,8959700000,3105900000,3916300000,-0.00278342,3.76489277,United States,0.1149937,5.4544047,,0,0,,-40.10180873,-14.00374473,-19.00213094,5081700000,-46.01861098,14.27830824,87412500000,-46.89103045,38.2238,10.09,-31.6849032,-16.65659781,36.8131,-47.85384441,9.992044,716.50487812,727.47325253,734.53300414,750.80515675,-32.23267069,36.34959623,29.5418718,-24.13089239,-39.31323027,-53.95345321,84.37677135,83.996637,-23.05139347,10271100000,2605100000,-6.07852327,4.79504405,-24.05084572,40.91951654,-6257900000,-46.27568016,4338400000,-31.68490519,-15.99383667,-47.2786629,35.63982289,33.81353123,42.62747579,38.11752722,3.47466433,3.35479768,22.41503982,6.62182233,6.69947342,4.67226864,2023-05-04,47.06287996,43.50335819,25.10576773,28.14816611,14.83000819,19.27071935,17.13796374,-24.2587903,1027162.26478778,-7.38929241,6.64395805,-25.06769404,105044406.444,715.622,712.985,740.72266667,766.2094,15.08916917,30059900000,2.68919505,14.08494537,0.06296996,16909200000,2701800000,0.01480714,0.05184417,6608700000,6564700000,12172900000,109692000,2023-08-03,0.85707894,2.29476706,1.81286584,718.36333333,729.62640281,-0.4626936,2.55927147,20.55906978,736.2205,743.7682,751.205,37.63732932,0,744.09104296,718.40707009,40.5079,-6.45245287,-0.36055026
MRNA,"Moderna, Inc.",121.35,-4.15449017,-5.26,Strong Sell,4104580,498090783,46259754112,10.47267267,12.2322,3900,Health Technology,Biotechnology,133.165,117.11,0.8313735,156.75,117.11,-24.13254142,542.06349206,207.51,117.11,-34.43375837,217.25,115.03,497.49,11.54,3160617.2,3000166.1,3187112.48333333,3283715.14444444,9902000000,8923000000,3205000000,3441000000,-0.12345679,2.08631278,United States,0.05873933,3.46441841,,0,0,,-28.62657758,-117.5,-106.52376514,5042000000,-69.38676381,7.62490165,54384900000,-28.99907809,20.101,0.19,-94.60647444,-97.7272992,11.5873,-65.92872475,-3.997663,123.2467415,123.26024588,124.44295258,136.40293315,-65.50041294,24.04626092,4.09995311,-186.19139371,-150.81408557,-95.3002611,69.83620284,62.89944396,-14.25726034,13345000000,1000000000,-66.95307336,-79.82243745,-50.00532481,63.38905017,-7815000000,-31.47025078,8362000000,-94.60750853,-97.83975937,-67.31793961,43.75948506,32.04930663,48.4902402,31.45307162,2.44311823,2.47035975,80.30514706,3.29247337,2.64177089,3.25521578,2023-05-04,44.9895289,45.52167176,15.42205244,23.61492597,18.49460703,26.62362958,25.4427485,3.77993809,4899743.58974359,-62.77866242,-69.1011236,-33.70786517,331373928.639,123.82,122.303,123.94666667,136.2474,4.89766376,24125000000,-7.52098747,-12.61907349,31.00436681,12122000000,1108000000,-7.66666667,17.00105597,6964000000,5262000000,19109000000,381209000,2023-08-03,5.00082932,3.05733205,3.23975421,122.2708,122.75902035,-32.90019353,2.83026862,-28.29709289,122.6105,126.2374,151.90995,33.77101896,0,127.83789141,122.85817286,21.2234,-5.25452842,-2.54577578
BIIB,Biogen Inc.,278.93,0.34536101,0.96,Sell,895395,249752527.35,40372988373,12.95234292,21.6154,8725,Health Technology,Biotechnology,304.7899,274.75,0.33859,319.76,274.75,-3.33391093,-20.0315367,319.76,254.8,-2.80846023,319.76,193.65,468.55,0.32622,1133614.1,1174014.06666667,1092604.53333333,995179.84444444,4892800000,5041300000,3419300000,2898200000,-2.07828682,1.40327917,United States,0.4790818,3.23808418,,0,0,,-16.69500373,-26.27523911,8.82352941,2970600000,4.05268135,14.11559563,41928800000,100.6325889,20.8692,3.4,-29.52303065,29.79157557,21.5351,120.69400178,3.788969,279.16493976,285.2585451,288.23848413,288.41580139,-66.17186114,12.12712278,15.00320267,,274.10972089,-49.14035525,70.35003286,70.65513005,-14.97681093,6636400000,1556200000,-7.52317566,5.35508767,-8.69158118,33.42023984,1568400000,95.80361159,3046900000,-29.52398256,27.68268598,115.97571911,32.29906502,32.87725893,24.10689677,24.8149276,3.00000828,2.92746493,28.34590985,4.2527943,4.31697797,2.81319447,2023-04-25,38.67043534,38.00855011,20.7634575,20.91501895,12.98825208,25.00908586,16.37697912,-9.31515804,1081191.97707736,-6.50116307,-1.80692444,-6.91357301,143744727.62,279.188,281.218,291.25033333,287.2396,2.83449134,24598400000,0.18041793,4.16694898,-12.75771521,9762500000,6609700000,-1.51239719,-12.88698517,11165700000,10811400000,9433400000,144742000,2023-07-25,1.40518615,2.05340443,1.95035191,278.35,285.07284998,0.79499874,-2.32859444,30.96534886,285.2395,297.9386,284.178625,38.67041887,0,290.50574305,281.03267601,20.9697,-8.42744583,-0.003585
SGEN,Seagen Inc.,198,0.4311438,0.85,Buy,1321291,261615618,37125788544,,-3.496,3256,Health Technology,Pharmaceuticals: Major,199.67,190.67,0.52916837,206.35,184.69,-3.46172599,181.9307988,207.165,127.09,51.04126936,207.165,116.08,213.94,2.15,951374.1,1151304.1,1359095.51666667,1476203.48888889,1738616000,1491461000,323486000,337036000,2.87852021,3.38885698,United States,0.03851781,3.64807747,,0,0,,12.03420446,-21.94684286,-43.72903854,-580228000,5.29178256,,36452800000,10.79921185,-3.3048,-0.93,-17.43280583,-25.8073197,-3.496,7.37846072,-0.800446,196.13093163,195.24037388,195.43018559,187.95795017,3.9793351,-26.27287236,-27.77000794,-170.7431107,-24.13348992,10.43900357,79.10438787,78.87755385,22.92893762,1552354000,407943000,-2.85683669,20.39612318,21.56772335,36.5341493,-1386571000,9.51308507,-610308000,-17.92928441,-28.01808138,5.94507973,-31.09989136,-31.54935785,-31.23554075,-32.3219523,13.17441529,13.61773772,,18.00094568,18.63311476,2.97831409,2023-04-27,69.5659945,58.6112195,68.50554318,68.23645418,-18.11597755,-22.67017593,-22.11107512,24.64736711,602706.38820639,-1.5963268,21.86817052,23.17896946,185225826.39999995,195.672,194.206,195.57566667,194.8429,-1.2117419,3543296000,-3.57150244,-2.02939536,-17.82485475,2601911000,104890000,80.87289407,55.91693547,870713000,820140000,1962412000,187504000,2023-08-02,2.23460804,1.06920162,1.52106543,196.62333333,195.44015363,52.7895671,3.21100917,11.99728491,195.544,195.8308,163.437425,-30.9965943,0,194.81034535,195.2881884,-3.3048,-0.10594824,0.25316456
ILMN,"Illumina, Inc.",187.15,-0.88968914,-1.68,Sell,1100677,205991700.55,29588416429.170685,,-28.5805,11500,Health Technology,Biotechnology,212.4858,181.13,1.3548394,232.23,181.13,-18.9265292,-38.31168831,238.55,181.13,-2.37859267,248.87,179.75,555.77,0.855,1119652.8,1563095.16666667,1446719.65,1366447.14444444,2037000000,1518000000,2011000000,1494000000,-0.181343,2.08924285,United States,0.4574929,1.42242152,,0,0,,39.29236499,-50,-84.36363636,602000000,228.96174863,52.15618678,38286900000,-655.86160431,-28.051,0.08,,-96.48733592,-28.5805,-723.38866229,0.021233,187.53272069,190.82613399,193.61865356,203.64770612,-67.42857143,2.48691099,-0.76456038,-164.9122807,-133.33333333,-115.38461538,64.83420593,63.21115359,-5.77045022,2972000000,655000000,-2.5297619,-19.63190184,-12.2659176,40.84460912,1544000000,-677.95275591,-4404000000,,-96.51162791,-741.14285714,-96.07329843,-100.92196987,7.72251309,4.3400045,4.4809368,4.41800383,,6.64935912,6.40980585,1.15964126,2023-04-25,45.31764401,42.92230994,28.81762653,29.95277715,-33.14011445,-51.03479645,-41.05003201,1.28148475,398608.69565217,0.36934441,-11.12019624,-4.46831364,157443252.6,187.338,186.513,195.9165,207.70425,-19.48478675,11811000000,-3.59941234,-22.67251539,39.96062992,3172000000,3062000000,-13.86779184,17.09369025,5653000000,5118000000,4584000000,158100000,2023-07-31,2.43566982,2.70649559,2.70229268,187.04996667,193.33872549,-8.67613331,2.75627299,3.63827666,191.60325,198.0621,209.080025,-102.42860355,0,197.88338091,187.89789299,-28.051,-9.58937198,-0.9106793
BNTX,BioNTech SE,108.24,-1.15971144,-1.27,Neutral,530596,57431711.04,26084811097,4.23862221,26.5256,4530,Health Technology,Biotechnology,116.24,104.72,0.15727484,129.095,100.08,-16.15801704,556,147.68,100.08,-27.59866221,188.985,100.08,464,12.525,523269.5,571181.43333333,699591.8,663311.93333333,14808200475,13193740155,14808200475,13193740155,0.2872232,1.29140932,Germany,0.01035267,12.95125411,,0,,0,-23.09673895,-77.4048255,-84.85852274,8649813080,-58.62820739,1.51668112,17550800000,-15.2666476,39.693,2.2218105,-76.7142721,-86.23152571,25.5366,-56.30227655,-0.69202763,108.40308954,108.22238546,108.65178432,117.62929118,1445.50198397,76.53229812,67.73307969,-272.1327187,-117.25140218,47.45791852,99.08610909,85.24814533,-19.2224381,18026731868.2105,1267145140.97774,-69.66312611,-77.7673275,-52.05186564,70.47846564,-12965802945,-18.49672763,9915312092.6194,-76.8184122,-87.01433819,-56.82103919,54.50071055,51.02420045,87.77569813,67.48871006,1.22991936,1.18474516,3.10191347,2.10102152,1.48619568,12.67779999,2023-05-08,50.87505228,49.26555579,8.59415618,13.05611414,27.65298723,32.4245592,32.13315445,-18.89024951,4016113.90841018,-68.60407479,-80.84041105,-53.34391741,240979413.437046,108.416,107.953,108.614,117.0124,38.00430559,23987729550,-3.44899597,6.20454218,-33.94778657,21822543345,227937210,0.64766066,10.13965496,3440280375,1970494365,18192996005.0981,240990499,2023-08-07,2.12746277,2.16858036,1.83953915,108.92,108.4789951,-29.2271479,2.44179443,-34.27252854,108.181,107.9234,133.426875,70.71295501,-508986861.533916,110.59180214,108.15118898,40.7534,-6.42344601,-1.96540168
ALNY,"Alnylam Pharmaceuticals, Inc.",197.1,-3.32548558,-6.78,Sell,498022,98160136.2,24544022748.62419,,-8.7033,2002,Health Technology,Pharmaceuticals: Major,207.4,187.6462,1.0532472,212.47,183,-4.52431699,82.06170331,241.79,179.19,-13.68135237,242.97,135.46,242.97,3.65,458526.6,519750.03333333,597585.58333333,680540.91111111,2192406000,2070675000.0000005,866394000,672245000,3.76961146,2.2939589,United States,,3.77346594,,0,0,,-12.02855911,22.12296977,1.11457544,-739074000,-18.30787061,,25420500000,-29.10775299,-9.2955,-1.4,16.66369631,29.7300005,-8.7033,-16.34961165,-1.528875,199.40931441,196.58315763,196.22830803,199.12583158,15.86969705,-54.9597173,-48.91525551,-17.85241981,6.07747505,8.6546957,83.72719579,83.55335481,23.35576722,868601000,264421000,-6.81822186,48.85887678,29.93712522,43.85873964,558572000,-32.63651117,-1131156000,16.09307302,27.56084064,-19.26834021,-109.0357021,-93.13191931,-75.67557147,-68.92716684,,,,21.39341422,23.11980504,3.57762281,2023-05-04,49.32351946,51.0590067,85.11660681,82.53022216,-31.20411224,-1500.66372617,-43.89295704,22.87504131,518190.80919081,-4.69950901,49.71935534,29.94033955,124028145.052,200.968,196.411,195.37333333,196.3142,-2.66090889,3391940000,-4.3542969,-1.21172141,19.52957755,2541018000,2629247000,0.63903034,18.90626463,3704582000,3651180000,1037417999.9999998,124526000,2023-08-01,3.54494667,2.6683076,3.37530429,199.29333333,196.17433175,-17.18487395,1.8973272,39.74758934,196.6525,196.118,206.7938,-92.7019045,0,196.67620565,197.94047897,-9.2955,-0.40927694,-3.16399725
