Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Industry,1-Month High,1-Month Low,1-Year Beta,3-Month High,3-Month Low,3-Month Performance,5Y Performance,6-Month High,6-Month Low,6-Month Performance,52 Week High,52 Week Low,All Time High,All Time Low,Average Volume (10 day),Average Volume (30 day),Average Volume (60 day),Average Volume (90 day),Cash and short term investments (FY),Cash and short term investments (MRQ),Cash & Equivalents (FY),Cash & Equivalents (MRQ),"Change 1M, %","Change 1W, %",Country,Debt to Equity Ratio (MRQ),Current Ratio (MRQ),Dividends per share (Annual YoY Growth),Dividends per Share (FY),Dividends per Share (MRQ),Dividend Yield Forward,EBITDA (Annual YoY Growth),EBITDA (Quarterly QoQ Growth),EBITDA (Quarterly YoY Growth),EBITDA (TTM),EBITDA (TTM YoY Growth),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),EPS Diluted (MRQ),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Quarterly YoY Growth),EPS Diluted (TTM),EPS Diluted (TTM YoY Growth),EPS Forecast (MRQ),Exponential Moving Average (5),Exponential Moving Average (20),Exponential Moving Average (30),Exponential Moving Average (100),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow Margin (TTM),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Quarterly YoY Growth),Free Cash Flow (TTM YoY Growth),Gross Margin (FY),Gross Margin (TTM),Gross Profit (Annual YoY Growth),Gross Profit (FY),Gross Profit (MRQ),Gross Profit (Quarterly QoQ Growth),Gross Profit (Quarterly YoY Growth),Gross Profit (TTM YoY Growth),Money Flow (14),Net Debt (MRQ),Net Income (Annual YoY Growth),Net Income (FY),Net Income (Quarterly QoQ Growth),Net Income (Quarterly YoY Growth),Net Income (TTM YoY Growth),Net Margin (FY),Net Margin (TTM),Operating Margin (FY),Operating Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Quick Ratio (MRQ),Recent Earnings Date,Relative Strength Index (7),Relative Strength Index (14),Research & development Ratio (FY),Research & development Ratio (TTM),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue (Annual YoY Growth),Revenue per Employee (FY),Revenue (Quarterly QoQ Growth),Revenue (Quarterly YoY Growth),Revenue (TTM YoY Growth),Shares Float,Simple Moving Average (5),Simple Moving Average (10),Simple Moving Average (30),Simple Moving Average (100),Total Assets (Annual YoY Growth),Total Assets (MRQ),Total Assets (Quarterly QoQ Growth),Total Assets (Quarterly YoY Growth),Total Debt (Annual YoY Growth),Total Current Assets (MRQ),Total Debt (MRQ),Total Debt (Quarterly QoQ Growth),Total Debt (Quarterly YoY Growth),Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding,Upcoming Earnings Date,Volatility,Volatility Month,Volatility Week,Volume Weighted Average Price,Volume Weighted Moving Average (20),YTD Performance,Weekly Performance,Yearly Performance,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (200),Pretax Margin (TTM),Dividends Paid (FY),Exponential Moving Average (50),Exponential Moving Average (10),Basic EPS (FY),Monthly Performance,Change from Open %
9997,KANGJI MEDICAL HLDGS LTD,6.29,-0.63191153,-0.04,Sell,600000,3774000,7532586322,11.53705062,0.5463,885,Health Technology,Medical Specialties,7.89,6.22,0.6203919,8.92,6.22,-23.29268293,-75.71428571,11,6.22,-32,11,5.31,35.650002,5.28,373810.7,438488.2,422989.33333333,474542.55555556,3176810118.9924803,3251115844.13654,996567389.839895,564457868.37921,-9.23520924,-3.23076923,China,0.01407915,9.12385769,18.86244922,0.2048,,3.235387,4.71284808,,,532460910,13.64479929,8.78560795,,3.1557744,0.4609,0.23482777,,,0.5452,55.19499004,0.27797029,6.45049755,6.83023127,7.03902429,7.87458019,-40.98426868,33.72458459,39.65616573,,,-13.85447303,80.75440602,80.57202844,8.86080425,738457890.488344,,,,28.87835905,17.95241175,-3199433909.1829,1.12317602,556710494.063137,,,49.83376257,60.87933497,67.20321442,56.53683331,51.75835355,1.97829225,2.08499072,19.30088367,7.65399042,8.30913863,,2023-08-29,24.80480325,30.62817632,8.39544386,11.65044461,13.90743981,17.17283599,16.96062647,9.92129697,1033275.7512249,,,33.45947065,292491251.1735,6.486,6.622,7.06566667,8.12640004,7.87807549,4534763449.23286,,,1011.97980197,3579179510.68619,51681934.9536416,,,298050356.265374,518767697.85450304,914449039.834035,1188539500,2024-03-20,2.41157556,4.03132596,3.69823454,6.29333333,6.82579826,-22.53694581,-5.97907324,17.13221601,6.8365,7.54260004,8.67005003,74.55359928,-209256443.074309,7.37562158,6.59327118,0.4609,-14.07103825,-0.63191153
9996,PEIJIA MEDICAL LIMITED,7.06,-0.84269663,-0.06,Sell,373000,2633380,4824046758,,-0.8812,927,Health Technology,Medical Specialties,7.63,6.46,0.9815574,9.8,5.82,9.62732919,-73.65671543,11.2,5.7,-29.11646586,14.32,5.46,39.099998,5.2,1144400,1283458.66666667,1922071.31666667,1992687.92222222,1954947032.17199,1153292745.94751,1874599283.8802,1070865529.3121603,-2.75482094,1.43678161,China,0.07685665,8.67593929,,0,,,4.3196943,,,-679871260,-121.45432293,,,32.64174395,-0.7045,-0.3350051,,,-0.8812,-6.79917586,,7.06617681,7.12599829,7.20953873,7.71503782,4.44864269,-203.0893074,,,,,63.5877257,71.18871235,114.74748094,185477909.68401405,,,,577.75175687,62.80686781,-950609501.063458,31.47442708,-474232195.00014395,,,-12.05507435,-162.58187719,-147.64016397,-224.04866983,-179.58392956,1.60255683,,,11.88296465,16.29311422,,2023-08-31,49.10047727,47.02252198,146.22039365,126.76516382,-17.59693096,-19.50512972,-18.84547435,77.26174377,314658.28156352,,,347.38114239,436494817.22015995,7.062,7.079,7.15533333,7.4213,-3.78472508,3051683082.9083,,,1486.96393133,1484488225.9896302,202683244.88405195,,,760250879.360444,414523511.09918,291688227.009387,673644696,2024-03-28,2.74170274,5.79541253,4.66530437,7.03,7.03704972,-26.45833333,0,25.84670232,7.0445,7.6292,8.9117,-144.85926177,0,7.35213838,7.06712209,-0.7045,-0.56338028,0.85714286
9993,RADIANCE HOLDINGS GROUP COMPANY LTD,3.15,-2.77777778,-0.09,Strong Sell,1254000,3950100,13106535683,11.43375681,0.2755,2257,Finance,Real Estate Development,4.27,3.02,0.5576226,5.16,3.02,-14.16893733,-24.64114833,5.16,3.02,-26.40186916,5.16,3.01,5.2,3.01,1504600,1222088,1244994,1252929.33333333,13836447218.4933,11791782686.7656,13831626173.9574,11788048891.8991,-12.98342541,-8.43023256,China,1.32474777,,-100,0,,,-35.11777823,,,2954014850,-58.41809896,16.68127947,,-49.76939633,0.4901,,,,0.2755,-78.03380641,,3.3791871,3.6132107,3.67040488,3.82012787,,16.31082512,9.60533401,,,56.92228046,14.72286938,12.1186966,-35.30706373,6050844827.77745,,,,-51.56377737,52.61813032,24018541147.8721,-49.7633315,1982737562.2223,,,-78.03097219,4.82438188,2.7887988,9.67096689,7.22272049,0.46259718,0.47138753,3.31930348,0.31883019,0.31004869,,2023-08-31,14.19070539,25.89825143,,,0.61091624,4.02851837,2.00466948,-14.83181655,18209247.4476455,,,-13.94124356,645226320.6899999,3.456,3.577,3.68233333,3.7822,-22.57165924,159368898497.44998,,,-34.25432703,,35810323834.6377,,,141569080217.681,120185422737.977,41098271489.33601,4045230000,2024-03-15,7.61904762,5.16488569,10.27975194,3.23,3.63516457,-18.39378238,-13.69863014,-18.18181818,3.654,3.8128,3.99795,9.0995243,-557889652.5557901,3.73423739,3.50613372,0.4901,-14.86486486,-1.5625
9992,POP MART INTL GRP LTD,23.2,-1.27659574,-0.3,Neutral,3170110,73546552,30921616699,44.75308642,0.5188,4178,Consumer Services,Movies/Entertainment,26.9,23.049999,2.2881384,26.9,16.68,27.33260853,-69.90920804,26.9,16.1,16.81771819,28,9.95,107.6,9.95,4696241.4,6726043.26666667,6530800.78333333,6038279.41111111,5689627452.07647,6011524089.949821,784322419.846944,1613259377.8677201,-9.01960784,-4.91803279,China,0.09281829,5.24481996,-45.50470988,0.09777,,0.41604254,-30.70369562,,,1458231730,-4.64038298,17.58580859,,-45.79539368,0.4048,0.3832026,,,0.5184,-17.70122242,0.43833776,23.63055155,23.82675388,23.46619734,21.43172863,17.75443881,11.95361202,23.74236946,,,58.83156449,54.49351183,56.0896452,-9.07445021,2925966674.57573,,,,25.53866951,32.96164864,-5280203026.08049,-46.27980776,553134643.604649,,,-19.41610817,10.30163792,12.23232261,10.67739669,12.38556151,4.03547039,3.93764268,22.99956178,5.46064093,5.90454005,,2023-08-22,38.0814028,46.84930907,,,7.04588483,8.62443556,8.16609475,-0.79074128,1285156.87222553,,,40.54868152,621667371.39198,23.6600002,23.8,23.7566667,20.24940008,-5.18544551,9779863840.99779,,,9.45754903,7614231532.6574,731321063.869329,,,2010828035.58122,1898031090.01177,5369385412.15825,1332328990,2024-03-26,3.2537961,4.4335807,4.42424564,23.35,24.74570232,17.76649148,-4.91803279,41.80928229,24.51750005,22.47479998,20.70770004,15.02326875,-255933211.059103,22.63563049,23.84898256,0.4049,-4.72279261,-2.5210084
9990,ARCHOSAUR GAMES INC,2.39,-3.2388664,-0.08,Sell,1662000,3972180,1974428232,,-0.9904,1181,Technology Services,Packaged Software,3.69,2.37,1.6211814,5.12,2.37,-43.36492891,-85.94117647,6.56,2.37,-61.2012987,7.35,2.16,28.4,2.16,1434296.9,3404257.53333333,4122513.91666667,4221021.23333333,2306570038.89696,2145245853.09848,1413422699.4476202,815358958.267082,-34.15977961,-7.36434109,China,0.02350966,6.20612302,,0,,,-127.23134591,,,-640075200,-10875.37689132,,,-145.18566494,-1.1357,-0.32419848,,,-0.9904,-1000.44444444,,2.49558463,2.84711452,3.04941433,3.81081662,-224.28398741,-89.69819605,-63.47568012,,,-527.52128571,68.34611322,72.89965039,-44.80430819,464248885.671326,,,,-49.56824085,22.31199409,-2083329155.96671,-144.47439725,-893726550.347774,,,-1001.49202187,-131.5732528,-105.2796434,-121.84033788,-96.44879314,0.64790367,0.71023149,,2.5309744,2.76891515,,2023-08-25,18.35581127,25.73870239,124.18505755,103.20315727,-22.47648795,-25.49585765,-24.96969726,-38.79372718,575157.98122367,,,-45.52692834,231357524.428,2.5,2.573,3.08533333,3.8728,-22.95053034,3088207601.54459,,,-30.61573396,2459634401.55285,61916697.1317653,,,407697121.37318903,454536932.537634,679261575.825151,799364000,2024-03-22,4.64135021,7.31759994,4.23670035,2.41333333,3.12699222,-37.92207792,-7.72200772,-22.4025974,2.892,3.5362,4.5034,-102.60830569,0,3.35326265,2.60892065,-1.1357,-30.52325581,-3.62903226
9985,WEILONG DELICIOUS GLOBAL HLDGS LTD,7.18,-2.31292517,-0.17,Sell,39600,284328,17280919258,17.11561383,0.4195,,Consumer Non-Durables,Food: Specialty/Candy,7.83,6.42,0.67660695,8.54,6.31,-12.86407767,-29.60784314,11.56,6.31,-35.19855596,12.4,6.31,12.4,6.31,241040,323536.56666667,268999.85,288005.67777778,3051466329.27917,3002012067.81341,1475788647.7192602,835498363.805315,-1.23796424,-4.90066225,China,0.03415601,2.62520653,,0.13,,0,-64.35818885,,,597915660,,24.22165961,,-82.34613605,0.0763,0.2053257,,,0.4195,,,7.36957648,7.36727574,7.41210782,8.11388616,6.55826068,11.77808663,23.74403422,,,,41.19371679,46.31454744,4.72361453,2218985571.14766,,,,,66.63128571,-2798409668.57332,-82.34213048,175939982.704984,,,,3.266187,18.28840145,5.46843512,8.40948463,2.66855968,2.77668206,13.19389499,3.13276294,3.07268748,,2023-08-29,39.64416204,44.87409107,,,12.97495346,17.91162131,17.33104524,-6.88897722,,,,,384692686.43066907,7.436,7.399,7.28,8.02560001,22.27057739,7818756322.712541,,,-67.79610901,3649325444.2356505,203602399.240094,,,1727430555.94315,1857802983.45964,5386708808.6721,2305246897,2024-03-21,4.74860335,5.60595237,3.3282899,7.28,7.25897479,-32.00757576,-7.94871795,-29.60784314,7.2955,7.5496,,25.61551952,0,7.58130928,7.37845694,0.0763,3.45821326,-4.26666667
9983,CENTRAL CHINA NEW LIFE LTD,2.37,0,0,Buy,696000,1649520,3082246473,,-0.0243,6086,Finance,Real Estate Development,2.57,1.93,1.104788,2.82,1.93,-10.22727273,-71.85273159,2.99,1.93,-13.81818182,4.12,1.93,11.88,1.93,808260,1186086.66666667,876848.33333333,875865.55555556,2337061405.3396997,1707649625.78727,2306562179.71863,1666870242.38545,13.94230769,3.94736842,China,0.02742365,1.93015422,-16.59751037,0.402,,11.734179,-14.23124771,,,43458270,-94.35762078,36.09970614,,-11.65367965,0.5102,-0.24855217,,,-0.0267,-105.75927524,,2.31108216,2.24664385,2.27368318,2.50334391,101.21084153,10.28038444,1.18010843,,,-93.83799793,32.37107232,31.50091741,-15.09872079,1185074054.04519,,,,-10.70596442,64.54355021,-1635924300.24573,-12.43598296,653839895.541248,,,-105.61728221,17.86006408,-1.00226831,22.39556615,-0.49236713,0.91732111,1.15758831,77.64175846,0.91625693,0.82964722,,2023-08-21,75.4554784,59.28329305,,,-0.58330113,-1.10485377,-1.08941841,-15.5978747,601528.84205703,,,-10.6245513,386096643.3599999,2.304,2.246,2.215,2.5477,-2.7909056,5451420337.74547,,,56.92203649,4820199714.29161,71725325.54153681,,,2555006525.10177,2713456935.0981903,3660904532.759081,1299280000,2024-03-22,5.26315789,5.44356031,5.07959169,2.35,2.16442553,-20.73578595,11.26760563,-9.88593156,2.1895,2.377,2.84555,-0.13695198,-702630776.089792,2.34711101,2.26286629,0.5154,3.04347826,-1.25
9982,CENTRAL CHINA MGMT CO LTD,0.355,-1.38888889,-0.005,Strong Sell,772000,274060,1328868774,3.63357216,0.0977,912,Finance,Real Estate Development,0.42,0.35,1.3408337,0.42,0.3,5.97014925,-85.8,0.59,0.29,-26.04166667,0.96,0.29,2.95,0.29,2672000,2644394.3,2200560.83333333,2594201.53333333,1756657717.41445,1785966539.49243,1756657717.41445,1785966539.49243,1.42857143,-4.05405405,China,0.00387433,5.08500882,-54,0.0851,,17.888887,-65.90352408,,,385011070,-68.10092891,,,-63.45695815,0.1074,0.06094931,,,0.0977,-66.02920723,,0.36129519,0.36546012,0.3649562,0.40473161,-73.27860953,24.98699816,,,,,,,,,,,,,59.72459088,-1775303485.90662,-61.9794144,352906786.858698,,,-62.24136294,50.10525377,47.71255075,56.21443042,53.31051644,0.47603084,,,1.75473653,1.65637438,,2023-08-24,39.49525765,45.88250281,0,,9.92257177,12.1618869,12.14180415,-55.09584578,772292.65791129,,,-55.03866515,1583708108.5,0.361,0.3685,0.356,0.37975,-14.60906441,3421807770.62382,,,-53.17945526,3366387725.52502,10663053.5858096,,,578773469.791562,670046264.4392589,704330904.0150961,3680500000,2024-03-12,1.4084507,4.09087218,3.09076682,0.35666667,0.38032207,-42.74193548,-2.73972603,-50.69444444,0.3715,0.3625,0.516775,58.18454265,-511898982.707746,0.36934897,0.36518888,0.1074,0,-1.38888889
9979,GREENTOWN MGMT HLDGS CO LTD,5.5,-0.54249548,-0.03,Sell,3851100,21181050,10917153740,11.33553174,0.4962,1529,Commercial Services,Miscellaneous Commercial Services,6.5,5.45,1.1653398,7.1,5.45,-10.42345277,107.54716981,7.97,5.45,-23.71705964,7.97,4.19,7.97,2.6,1707610,2237242.1,2994708.08333333,2827007.6,2426748102.96762,2978383759.4730196,2342059842.7578897,2911268230.36736,-9.98363339,-4.84429066,China,0.00350955,1.48261388,42.56388594,0.334117,,6.041899,38.18583513,,,1146651870,71.79459989,7.05073887,,25.58006302,0.4384,0.25935878,,,0.4852,39.46536361,,5.66545511,5.9494861,6.02762465,6.32006239,11.24448035,29.64666308,32.83100485,,,-25.75739346,52.28204754,52.94250985,28.74859005,1614780805.72661,,,,44.35682109,31.79546455,-2965154193.9000998,27.09864855,865813984.964008,,,43.48641156,28.03261456,29.10289406,28.56714177,31.68900793,2.63330509,2.86252589,10.06123286,3.30320385,3.51706903,,2023-07-31,18.44880433,30.08522169,,,13.75746465,25.15615704,25.09968365,14.24522477,2020009.93495719,,,36.11899502,556139848.8072519,5.67,5.882,6.01766667,6.4082,7.83403164,7361133965.928101,,,2.75350038,4779665222.95414,13229565.5729242,,,2569155291.57616,3458801575.8151402,3088595190.54955,1961914039,2024-03-19,3.85321101,3.4802909,3.39916862,5.53666667,6.03727052,-9.39044481,-8.7893864,-17.91044776,6.0385,6.2174,6.56895,33.9693431,-451311865.719886,6.14055734,5.81025716,0.4469,-6.93739425,-0.1814882
9966,ALPHAMAB ONCOLOGY,9.14,-1.18918919,-0.11,Neutral,1103000,10081420,8924209061,,-0.2601,472,Health Technology,Biotechnology,9.79,7.9,1.4305038,10.4,6.93,27.12100139,-29.69230769,17.34,6.86,-34.71428571,17.700001,5.45,28.700001,5.45,2261140,3947231.96666667,4794737.35,6287914.43333333,1516121950.91129,1706252554.3188698,1200421002.85542,1225864944.9274201,5.90961761,-2.2459893,China,0.15355422,6.59304773,,0,,,2.82562948,,,-304881330,44.72478236,,,23.86598908,-0.4045,-0.04322646,,,-0.2601,64.87034036,,9.23752568,8.96281931,8.82773658,9.3839723,9.17232406,-246.26809251,,,,,40.42674338,49.81358422,-36.12700391,78436134.4471543,,,,,56.86897466,-1400313321.49421,23.79531141,-378775012.37058693,,,64.57215343,-195.22430999,-87.15007724,-259.14531451,-134.05395126,4.91120604,,,31.08399667,44.1171532,,2023-08-23,51.14911726,54.65663341,247.56510534,153.49483143,-9.08850689,-12.20751,-11.00895276,10.24757275,411060.19687639,,,,429948937.4550001,9.25,9.245,8.49300003,9.05670001,-28.1533989,2511911844.9625196,,,-50.25526405,1858522556.17734,305939232.824664,,,628575960.132054,519526108.08020294,194020412.925656,964779000,2024-03-28,2.63157895,5.39118068,3.35838123,9.20666667,8.92734385,-15.37037037,-5.87023687,42.36760125,8.98500005,8.63680002,11.29504999,-87.15007724,0,8.82506175,9.17982358,-0.4045,15.98984772,-2.2459893
