Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Industry,1-Month High,1-Month Low,1-Year Beta,3-Month High,3-Month Low,3-Month Performance,5Y Performance,6-Month High,6-Month Low,6-Month Performance,52 Week High,52 Week Low,All Time High,All Time Low,Average Volume (10 day),Average Volume (30 day),Average Volume (60 day),Average Volume (90 day),Cash and short term investments (FY),Cash and short term investments (MRQ),Cash & Equivalents (FY),Cash & Equivalents (MRQ),"Change 1M, %","Change 1W, %",Country,Debt to Equity Ratio (MRQ),Current Ratio (MRQ),Dividends per share (Annual YoY Growth),Dividends per Share (FY),Dividends per Share (MRQ),Dividend Yield Forward,EBITDA (Annual YoY Growth),EBITDA (Quarterly QoQ Growth),EBITDA (Quarterly YoY Growth),EBITDA (TTM),EBITDA (TTM YoY Growth),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),EPS Diluted (MRQ),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Quarterly YoY Growth),EPS Diluted (TTM),EPS Diluted (TTM YoY Growth),EPS Forecast (MRQ),Exponential Moving Average (5),Exponential Moving Average (20),Exponential Moving Average (30),Exponential Moving Average (100),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow Margin (TTM),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Quarterly YoY Growth),Free Cash Flow (TTM YoY Growth),Gross Margin (FY),Gross Margin (TTM),Gross Profit (Annual YoY Growth),Gross Profit (FY),Gross Profit (MRQ),Gross Profit (Quarterly QoQ Growth),Gross Profit (Quarterly YoY Growth),Gross Profit (TTM YoY Growth),Money Flow (14),Net Debt (MRQ),Net Income (Annual YoY Growth),Net Income (FY),Net Income (Quarterly QoQ Growth),Net Income (Quarterly YoY Growth),Net Income (TTM YoY Growth),Net Margin (FY),Net Margin (TTM),Operating Margin (FY),Operating Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Quick Ratio (MRQ),Recent Earnings Date,Relative Strength Index (7),Relative Strength Index (14),Research & development Ratio (FY),Research & development Ratio (TTM),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue (Annual YoY Growth),Revenue per Employee (FY),Revenue (Quarterly QoQ Growth),Revenue (Quarterly YoY Growth),Revenue (TTM YoY Growth),Shares Float,Simple Moving Average (5),Simple Moving Average (10),Simple Moving Average (30),Simple Moving Average (100),Total Assets (Annual YoY Growth),Total Assets (MRQ),Total Assets (Quarterly QoQ Growth),Total Assets (Quarterly YoY Growth),Total Debt (Annual YoY Growth),Total Current Assets (MRQ),Total Debt (MRQ),Total Debt (Quarterly QoQ Growth),Total Debt (Quarterly YoY Growth),Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding,Upcoming Earnings Date,Volatility,Volatility Month,Volatility Week,Volume Weighted Average Price,Volume Weighted Moving Average (20),YTD Performance,Weekly Performance,Yearly Performance,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (200),Pretax Margin (TTM),Dividends Paid (FY),Exponential Moving Average (50),Exponential Moving Average (10),Basic EPS (FY),Monthly Performance,Change from Open %
9997,KANGJI MEDICAL HLDGS LTD,7.03,-0.98591549,-0.07,Neutral,305500,2147665,1083314429.64204,12.8943507,0.06969149,885,Health Technology,Medical Specialties,7.54,5.84,0.90262234,8.09,5.84,-2.63157895,-72.85714286,9.18,5.84,-20.38505096,11,5.84,35.650002,5.28,1124077,2337124.2,1375397.21666667,1063963,406663463.33222747,414744848.2364983,127570591.57340495,72007890.26913582,9.33125972,-2.08913649,China,0.01407915,9.12385769,18.86244922,0.02621645,,2.884507,4.71284808,,,67926038.2887,13.64479929,10.55999241,,3.1557744,0.05899981,0.02995698,,,0.06955116,55.19499004,0.0350275,7.1136513,6.9635278,6.89075783,7.25446613,-40.98426868,33.72458459,39.65616573,,,-13.85447303,80.75440602,80.57202844,8.86080425,94529994.56141292,,,,28.87835905,76.63371488,-408151783.7944625,1.12317602,71264510.34502219,,,49.83376257,60.87933497,67.20321442,56.53683331,51.75835355,2.21103252,2.33028374,21.57157587,8.55445988,9.28668435,,2023-08-29,48.00407196,53.66521847,8.39544386,11.65044461,13.90743981,17.17283599,16.96062647,9.92129697,132269.6289143,,,33.45947065,578354017.5555,7.132,7.176,6.72066667,7.28560002,7.87807549,578499773.2186358,,,1011.97980197,456595930.17823726,6593064.44203606,,,38153426.10553053,66179195.21529894,117058621.58915484,1188539500,2024-03-20,1.99714693,4.59584107,2.80107062,7.06333333,6.69783524,-13.42364532,-2.76625173,-4.3537415,6.9155,6.6586,8.28030002,74.55359928,-26786917.2779423,6.91712268,7.09655147,0.05899981,15.24590164,-1.67832168
9996,PEIJIA MEDICAL LIMITED,7.74,-0.64184852,-0.05,Buy,829300,6418782,676847430.96462,,-0.11241468,927,Health Technology,Medical Specialties,8.35,5.89,1.5118548,8.35,5.88,9.63172805,-71.11940191,9.8,5.7,4.87804878,14.32,5.7,39.099998,5.2,2033530,1995750.8,1710907.78333333,1858468.95555556,250252769.58833647,147125555.60052383,239967454.3295044,136610315.57435226,4.59459459,-1.40127389,China,0.07685621,8.67593929,,0,,,4.3196943,,,-86731176.6382,-121.45432293,,,32.64174395,-0.09018305,-0.0427366,,,-0.11241468,-6.79917586,,7.74040549,7.43430868,7.31042917,7.38012432,4.44864269,-203.0893074,-220.0653983,,,-174.86420311,63.5877257,71.18871235,114.74748094,23743027.21865064,,,,577.75175687,49.44123926,-121269254.05066532,31.47442708,-60706463.28196843,,,-12.05507435,-162.58187719,-147.64016397,-224.04866983,-179.58392956,1.75691074,1.98068956,,13.02749949,17.86242267,,2023-08-31,58.19373111,58.0150888,146.22039365,126.76516382,-17.59693096,-19.50508137,-18.84542922,77.26174377,40279.40662295,,,347.38114239,437295274.113059,7.836,7.494,7.12366667,7.3107,-3.78472508,389303210.88661176,,,1486.96393133,189376162.98949713,25856301.54985851,,,97319715.06693044,52880764.31092238,37339009.93947163,674964421,2024-03-28,4.1388518,7.81906069,5.60970439,7.67666667,7.35810478,-19.375,7.7994429,-0.51413882,7.464,7.013,8.353,-144.81121034,0,7.22929846,7.63091857,-0.09018305,20.56074766,1.44167759
9993,RADIANCE HOLDINGS GROUP COMPANY LTD,3.43,1.78041543,0.06,Buy,994000,3409420,1747948212.57756,12.45009074,0.03514554,2257,Finance,Real Estate Development,3.63,2.89,0.5585586,4.27,2.85,-8.04289544,-17.94258373,5.16,2.85,-7.79569892,5.16,2.85,5.2,2.85,1095600,2621400,1912360.66666667,1689651.55555556,1771203608.4393275,1504277717.3506875,1770586466.528287,1503801397.139568,5.53846154,7.86163522,China,1.32474777,,-100,0,,,-35.11777823,,,376843674.41449994,-58.41809896,16.94520348,,-49.76939633,0.0627377,,,,0.03514554,-78.03380641,,3.35904669,3.32410581,3.32385148,3.51245059,,16.31082512,9.60533401,,,56.92228046,14.72286938,12.1186966,-35.30706373,774568646.4037914,,,,-51.56377737,50.87563766,3064045294.2340436,-49.7633315,253810235.34007663,,,-78.03097219,4.82438188,2.7887988,9.67096689,7.22272049,0.50371693,0.51328864,3.61435267,0.34717065,0.33760857,,2023-08-31,57.80995867,54.13449215,,,0.61091624,4.02851837,2.00466948,-14.83181655,2330965.7657731,,,-13.94124356,645226320.6899999,3.306,3.369,3.25633333,3.5811,-22.57165924,20330690381.31969,,,-34.25432703,,4568323011.58473,,,18122257958.665348,15332054378.683725,5260989733.349903,4045230000,2024-03-15,4.24242424,7.2343116,7.02979648,3.39,3.04729466,-11.13989637,-2,-10.67708333,3.3215,3.3096,3.84485,9.0995243,-71415454.4236667,3.36948814,3.34684703,0.0627377,13.20132013,2.69461078
9992,POP MART INTL GRP LTD,23.950001,0.84210947,0.200001,Strong Buy,4350110,104185138.85011,4006948094.11896,46.19984761,0.06618332,4178,Consumer Services,Movies/Entertainment,25.200001,21.15,2.261036,26.9,21.15,1.05485228,-68.93644407,26.9,16.1,37.0137357,28,12.86,107.6,9.95,3308945.3,4093482.43333333,4632628.55,5573921.55555556,728329210.1403091,766890128.1548985,100401112.96460731,205803498.83458504,11.13690075,5.97345575,China,0.09281829,5.24481996,-45.50470988,0.01251554,,0.41166314,-30.70369562,,,186026621.7961,-4.64038298,17.90214568,,-45.79539368,0.05181845,0.04888516,,,0.06613229,-17.70122242,0.0574451,23.52805261,23.19942015,23.17275936,22.34939963,17.75443881,11.95361202,23.74236946,,,58.83156449,54.49351183,56.0896452,-9.07445021,374552994.0124392,,,,25.53866951,66.3476508,-673595500.037088,-46.27980776,70806765.72783113,,,-19.41610817,10.30163792,12.23232261,10.67739669,12.38556151,4.16592758,4.06493733,23.74308309,5.63717051,6.09541983,,2023-08-22,62.6345233,56.58590706,,,7.04588483,8.62443556,8.16609475,-0.79074128,164512.93121359,,,40.54868152,619608923.10243,23.37,23.2400002,23.17500007,22.25850004,-5.18544551,1247617230.1960878,,,9.45754903,971347516.6211044,93294628.1178103,,,257406096.83475205,242131826.15280148,687335026.6103777,1332328990,2024-03-26,6.08695652,4.65650577,5.32926511,23.78333367,22.84752463,21.57360297,1.91489787,66.78273677,22.95000015,23.27800008,20.98455003,15.02326875,-32762010.34767578,23.02717085,23.32755801,0.05183125,6.20843487,1.69852237
9990,ARCHOSAUR GAMES INC,2.33,4.48430493,0.1,Neutral,467000,1088110,228562529.28078,,-0.12634533,1181,Technology Services,Packaged Software,2.62,2.02,1.4129761,3.69,2.02,-32.46376812,-86.29411765,5.12,2.02,-42.18362283,7.35,2.02,28.4,2.02,599600,1032506.66666667,1772500.13333333,2869874.22222222,295264030.6791999,273669013.47977304,180932239.75628987,104015342.30613165,13.65853659,1.30434783,China,0.02350966,6.20612302,,0,,,-127.23134591,,,-81654393.264,-10875.37689132,,,-145.18566494,-0.14538096,-0.041358,,,-0.12634533,-1000.44444444,,2.29665222,2.30988041,2.35765285,3.0036795,-224.28398741,-89.69819605,-63.47568012,,,-527.52128571,68.34611322,72.89965039,-44.80430819,59428499.85478645,,,,-49.56824085,64.09757196,-265770300.42667317,-144.47439725,-114405935.71001856,,,-1001.49202187,-131.5732528,-105.2796434,-121.84033788,-96.44879314,0.6316383,0.69240141,,2.4674353,2.69940264,,2023-08-25,53.92708188,49.46392542,124.18505755,103.20315727,-22.47648795,-25.49585765,-24.96969726,-38.79372718,73625.97317644,,,-45.52692834,231357524.428,2.282,2.308,2.27533333,3.1443,-22.95053034,393962643.7290433,,,-30.61573396,313775560.60609704,7898713.0530993,,,52189308.50698193,57985276.48382597,86952274.32137759,799364000,2024-03-22,5.42986425,7.03301704,6.38034077,2.29,2.30046936,-39.48051948,-4.11522634,-40.25641026,2.278,2.392,4.1619,-102.60830569,0,2.52930549,2.30003874,-0.14538096,1.74672489,4.48430493
9985,WEILONG DELICIOUS GLOBAL HLDGS LTD,7.5,-2.08877285,-0.16,Sell,229000,1717500,2309213251.89882,17.8784267,0.05351562,,Consumer Non-Durables,Food: Specialty/Candy,8,6.8,0.73140603,8,6.36,5.63380282,-26.47058824,9.17,6.31,-17.49174917,12.4,6.31,12.4,6.31,127680,146653.33333333,203410.41666667,220108.73333333,390618204.8110266,382966679.49095666,188915704.79454252,106584526.27064402,3.02197802,-1.83246073,China,0.03415601,2.62520653,,0.0166413,,0,-64.35818885,,,76276100.7462,,25.57027883,,-82.34613605,0.00976716,0.0261934,,,0.05351562,,,7.61393378,7.56517773,7.51358922,7.74395321,6.55826068,11.77808663,23.74403422,,,,41.19371679,46.31454744,4.72361453,284052342.962612,,,,,60.00328944,-356993121.4198984,-82.34213048,22522077.18606501,,,,3.266187,18.28840145,5.46843512,8.40948463,2.78749271,2.9004339,13.78192374,3.27238469,3.20963177,,2023-08-29,39.74939515,49.0219311,,,12.97495346,17.91162131,17.33104524,-6.88897722,,,,,384692686.43066907,7.632,7.658,7.49,7.5311,22.27057739,997438744.0884387,,,-67.79610901,465544446.92114186,25973558.07105879,,,221128385.46628267,236999926.5999463,689552594.5981156,2305246897,2024-03-21,3.51351351,4.23233794,2.38825964,7.52,7.58224552,-28.97727273,-1.31578947,-26.47058824,7.57,7.3606,8.71270001,25.61551952,0,7.49307465,7.62212343,0.00976716,0,-1.44546649
9983,CENTRAL CHINA NEW LIFE LTD,1.86,-2.10526316,-0.04,Strong Sell,356000,662160,316831539.34962,,-0.00309995,6086,Finance,Real Estate Development,2.25,1.84,0.94363964,2.57,1.84,-11.84834123,-77.90973872,2.95,1.84,-30.59701493,4.12,1.84,11.88,1.84,193500,153673.36666667,528563.35,626512.23333333,299167230.497535,217844862.76168203,295263024.62578183,212642636.82111183,-13.88888889,-8.37438424,China,0.02742365,1.93015422,-16.59751037,0.05146002,,14.636843,-14.23124771,,,5543971.5039,-94.35762078,22.14682717,,-11.65367965,0.0653107,-0.0317078,,,-0.00340612,-105.75927524,,1.9436479,2.06878831,2.10704701,2.3052891,101.21084153,10.28038444,1.18010843,,,-93.83799793,32.37107232,31.50091741,-15.09872079,151701329.6583248,,,,-10.70596442,18.95772449,-208694862.98234776,-12.43598296,83698045.02823517,,,-105.61728221,17.86006408,-1.00226831,22.39556615,-0.49236713,0.7199229,0.90848703,60.93403828,0.71908772,0.65111554,,2023-08-21,7.52100953,20.0203538,,,-0.58330113,-1.10485377,-1.08941841,-15.5978747,77001.70707172,,,-10.6245513,401403461.04,1.96,2.023,2.132,2.3144,-2.7909056,695437692.4861896,,,56.92203649,614912877.5521806,9149999.77933385,,,327066385.2782776,346155701.2104761,468632389.2384899,1299280000,2024-03-22,2.7027027,3.42251137,5.4978377,1.87,2.03790997,-37.79264214,-9.70873786,-44.14414414,2.0975,2.1738,2.58165,-0.13695198,-89943765.64725429,2.16670171,2.0039486,0.06597635,-14.67889908,-2.10526316
9982,CENTRAL CHINA MGMT CO LTD,0.325,0,0,Strong Sell,1514000,492050,153822085.77954,3.32650972,0.01246359,912,Finance,Real Estate Development,0.36,0.32,1.6220287,0.42,0.32,3.17460317,-87,0.42,0.29,-12.16216216,0.96,0.29,2.95,0.29,2219400,1630200,2135549.96666667,1969589.63333333,224869754.40622377,227835751.44304928,224869754.40622377,227835751.44304928,-7.14285714,0,China,0.00387433,5.08500882,-54,0.01089365,,19.815386,-65.90352408,,,49115862.19989999,-68.10092891,,,-63.45695815,0.01374827,0.0077753,,,0.01246359,-66.02920723,,0.32610193,0.3359331,0.34024011,0.37119646,-73.27860953,24.98699816,42.88256419,,,-63.33830067,,,,,,,,,42.74620166,-226475465.6971075,-61.9794144,45175597.78578193,,,-62.24136294,50.10525377,47.71255075,56.21443042,53.31051644,0.43580288,0.42736167,3.74615875,1.60644893,1.51639908,,2023-08-24,23.86082251,33.04877945,0,0,9.92257177,12.1618869,12.14180415,-55.09584578,98861.18313922,,,-55.03866515,1622711139.48,0.325,0.329,0.344,0.35705,-14.60906441,436520017.29848063,,,-53.17945526,429450082.1452268,1360285.74594173,,,74088791.86801785,85477801.95451626,90161399.02297243,3684580000,2024-03-12,3.125,3.56762183,3.125,0.325,0.33598359,-47.58064516,-1.51515152,-45.83333333,0.3385,0.3501,0.450825,58.18454265,-65528188.77641857,0.34684806,0.32970557,0.01374827,-7.14285714,0
9979,GREENTOWN MGMT HLDGS CO LTD,6.1,0.82644628,0.05,Buy,431000,2629100,1531424098.43712,12.5721352,0.06330023,1529,Commercial Services,Miscellaneous Commercial Services,6.31,5.55,0.8744917,6.5,5.39,4.45205479,130.18867925,7.1,5.39,-10.29411765,7.97,5.39,7.97,2.6,1313120,1777658.63333333,1742119.83333333,2467957.53333333,310648024.66088504,379952416.1959731,299807080.4714375,371390488.14796406,5.71923744,0.32894737,China,0.00350955,1.48261388,42.56388594,0.04277032,,5.522595,38.18583513,,,146278379.05589998,71.79459989,7.98650074,,25.58006302,0.05611958,0.0330864,,,0.06189696,39.46536361,,6.09480201,6.00837394,5.97377121,6.08781261,11.24448035,29.64666308,32.83100485,,,-25.75739346,52.28204754,52.94250985,28.74859005,206708090.94106337,,,,44.35682109,39.97183635,-378264720.5158357,27.09864855,110832848.21524265,,,43.48641156,28.03261456,29.10289406,28.56714177,31.68900793,2.92057473,3.17480144,11.1588219,3.66355336,3.90074929,,2023-07-31,54.30008736,54.42384121,,,13.75746465,25.15615704,25.09968365,14.24522477,258581.47177387,,,36.11899502,556139848.8072519,6.098,6.074,5.93566667,6.0556,7.83403164,939059860.0334477,,,2.75350038,609741892.4922595,1687695.68013794,,,328877568.87466425,441239317.02673733,395371070.342248,1961914039,2024-03-19,3.18257956,3.9201997,3.37756516,6.07666667,5.99940231,0.49423394,0.32894737,5.17241379,6.005,5.8644,6.4932,33.9693431,-57772431.93080261,5.9722913,6.06870912,0.05720767,11.51736746,2.17755444
997,CHINLINK INTL HLDGS LTD,0.027,0,0,Sell,232000,6264,4048004.00118,,-0.04160525,167,Finance,Real Estate Investment Trusts,0.028,0.023,0.37770793,0.036,0.023,-6.89655172,-99.36961914,0.036,0.023,-10,0.047,0.023,85.11349,0.023,332600,439083.76666667,441787.08333333,448770.05555556,21774303,21774303,21774303,21774303,12.5,3.84615385,Hong Kong,1.44689406,0.43327986,,0,,,-153.85697504,,,-4729269.6,-165.26881909,,,-14.35071754,-0.04160525,,,,-0.04160525,-24.36239056,,0.02650077,0.02678602,0.02750424,0.03226275,-8.74801599,-124.60469816,-124.60469816,,,50.19921257,75.92573882,75.92573882,-17.62250155,11484040.95,,,,-42.17198923,49.63619597,227758216.05,-14.35537608,-48650119.65,,,-113.59384522,-317.10196177,-317.10196177,-43.89576492,-43.89576492,0.02331284,0.02331284,,0.26581434,0.2658144,,,54.9864619,49.07110045,,,-7.53197076,-23.09816207,-19.96757976,-20.25380199,90571.01497006,,,-46.90134926,1026658836.5099998,0.0266,0.0258,0.02786667,0.03213,-20.44612409,564277279.9499999,,,-7.63351006,142171629.75,249532519.05,,,390698975.25,390698975.25,15125359.5,1169290000,2023-11-30,0,3.73733151,16.66666667,0.027,0.02627628,-25,3.84615385,-51.78571429,0.0262,0.02892,0.038435,-334.66531953,0,0.02887406,0.02626965,-0.04160525,12.5,0
