LongShortCouponFirstIntPmt,PrimaryDealerTendered,PrimaryDealerAccepted,DirectBidderTendered,DirectBidderAccepted,IndirectBidderTendered,IndirectBidderAccepted,CompetitiveTendered,CompetitiveAccepted,NonCompetitiveAccepted,SOMATendered,SOMAAccepted,FIMATendered,FIMAAccepted,TotalTendered,TotalAccepted,BidToCoverRatio,ReleaseTime,AmountAcceptedBelowLowRate,HighAllocationPercentage,LowDiscountRate,HighDiscountRate,MedianDiscountRate,LowYield,HighYield,MedianYield,LowPrice,HighPrice ,MedianPrice,TIINConversionFactor,AccruedInterest,StandardInterestPayment,InterestRate,OriginalCUSIP,UnadjustedPrice,UnadjustedAccruedInterest,TreasuryDirectAccepted,InvestmentRate,AdjustedPrice,AdjustedAccruedInterest,IndexRatio,ResultsPDFName  ,CUSIP    ,Date    ,LowDiscountMargin,HighDiscountMargin,MedianDiscountMargin,Spread,FRNIndexDeterminationDate,FRNIndexDeterminationRate,HighPrice,ResultsPDFName,CUSIP,Date,TreasuryRetailAccepted
                          ,52141000000,16266700000,470000000,470000000,8019566000,5719566000,60630566000,22456266000,1543890200,0,0,0,0,62174456200,24000156200,2.59,13:01      ,5,13.8,1.24           ,1.45            ,1.35              ,        ,         ,           ,        ,99.633472,           ,                    ,               ,                       ,            ,             ,               ,                         ,1219044200.0,1.476         ,             ,                       ,          ,R_20080407_1.pdf,912795F48,20080407.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,41156000000,13514780000,125000000,125000000,7402000000,6005060000,48683000000,19644840000,1155290200,0,0,200000000,200000000,50038290200,21000130200,2.38,13:01      ,5,3.06,1.45           ,1.6             ,1.52              ,        ,         ,           ,        ,99.191111,           ,                    ,               ,                       ,            ,             ,               ,                         ,885187200.0,1.635         ,             ,                       ,          ,R_20080407_2.pdf,912795G96,20080407.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,64251000000,20111280000,0,0,5380000000,4888800000,69631000000,25000080000,0,0,0,0,0,69631000000,25000080000,2.79,11:31      ,5,47.84,2.1            ,2.29            ,2.23              ,        ,         ,           ,        ,99.968194,           ,                    ,               ,                       ,            ,             ,               ,                         ,0.0,2.323         ,             ,                       ,          ,R_20080408_1.pdf,912795UD1,20080408.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,34410000000,6770050000,518000000,403841200,3918600000,2461280000,38846600000,9635171200,364904300,0,0,0,0,39211504300,10000075500,3.92,13:01      ,5,21.34,0.95           ,1.26            ,1.2               ,        ,         ,           ,        ,99.902,           ,                    ,               ,                       ,            ,             ,               ,                         ,163702300.0,1.279         ,             ,                       ,          ,R_20080408_2.pdf,912795E31,20080408.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,9560000000,3891417000,253000000,228000000,2669900000,1723130000,12482900000,5842547000,57484300,0,0,100000000,100000000,12640384300,6000031300,2.11,13:01      ,5,71.42,               ,                ,                  ,1.15    ,1.25     ,1.2        ,        ,104.353623,           ,3.878347342         ,               ,                       ,1.625       ,             ,103.431018     ,4.0625                   ,14328300.0,              ,104.353623   ,4.09874                ,1.00892   ,R_20080410_1.pdf,912828HN3,20080410.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,39346000000,12226500000,145000000,135000000,7819500000,5942550000,47310500000,18304050000,1203861200,2518028000,2518028000,492100000,492100000,51524489200,22518039200,2.45,13:01      ,5,96.1,1.29           ,1.38            ,1.32              ,        ,         ,           ,        ,99.302333,           ,                    ,               ,                       ,            ,             ,               ,                         ,956774800.0,1.409         ,             ,                       ,          ,R_20080414_1.pdf,912795H20,20080414.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,47590000000,8928780000,345000000,274451000,14099915000,11204815000,62034915000,20408046000,1567391600,2373476700,2373476700,25000000,25000000,66000783300,24373914300,2.89,13:01      ,5,98.78,0.99           ,1.06            ,1.05              ,        ,         ,           ,        ,99.732056,           ,                    ,               ,                       ,            ,             ,               ,                         ,1222417600.0,1.078         ,             ,                       ,          ,R_20080414_2.pdf,912795F55,20080414.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,49550000000,17621160000,0,0,2375000000,2375000000,51925000000,19996160000,4000000,0,0,0,0,51929000000,20000160000,2.6,11:31      ,5,39.12,1.65           ,2.0             ,1.9               ,        ,         ,           ,        ,99.966667,           ,                    ,               ,                       ,            ,             ,               ,                         ,0.0,2.028         ,             ,                       ,          ,R_20080415_1.pdf,912795M73,20080415.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,27494500000,5654645000,535000000,235000000,3057484000,1699891500,31086984000,7589536500,410476900,2717889300,2717889300,0,0,34215350200,10717902700,3.94,13:01      ,5,57.81,0.5            ,0.85            ,0.71              ,        ,         ,           ,        ,99.933889,           ,                    ,               ,                       ,            ,             ,               ,                         ,222000900.0,0.862         ,             ,                       ,          ,R_20080415_2.pdf,912795E49,20080415.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,32201000000,13406900000,160000000,160000000,5712385000,4970625000,38073385000,18537525000,1207496800,2052858000,2052858000,255000000,255000000,41588739800,22052879800,1.98,13:01      ,5,8.24,1.54           ,1.68            ,1.59              ,        ,         ,           ,        ,99.150667,           ,                    ,               ,                       ,            ,             ,               ,                         ,910134800.0,1.718         ,             ,                       ,          ,R_20080421_1.pdf,912795H38,20080421.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,44100000000,12196100000,500000000,430000000,7238490000,5793295000,51838490000,18419395000,1561113800,1381311100,1381311100,19500000,19500000,54800414900,21381319900,2.67,13:01      ,5,19.22,1.2            ,1.32            ,1.25              ,        ,         ,           ,        ,99.666333,           ,                    ,               ,                       ,            ,             ,               ,                         ,1293797800.0,1.343         ,             ,                       ,          ,R_20080421_2.pdf,912795F63,20080421.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,28915000000,5277937500,400000000,250000000,3543750000,2227250000,32858750000,7755187500,234870500,3787796900,3787796900,10000000,10000000,36891417400,11787854900,4.14,11:31      ,5,34.75,0.5            ,0.7             ,0.62              ,        ,         ,           ,        ,99.945556,           ,                    ,               ,                       ,            ,             ,               ,                         ,131288500.0,0.71          ,             ,                       ,          ,R_20080422_1.pdf,912795E56,20080422.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,12569900000,5309357200,20000000,5000000,4899070000,2574250000,17488970000,7888607200,111415200,733817500,733817500,0,0,18334202700,8733839900,2.2,13:01      ,5,99.07,               ,                ,                  ,0.5     ,0.745    ,0.71       ,        ,99.5609,           ,1.4784776           ,               ,                       ,0.625       ,             ,99.416746      ,0.25615                  ,53388700.0,              ,99.5609      ,0.25652                ,1.00145   ,R_20080422_2.pdf,912828HW3,20080422.0,                 ,                  ,                    ,      ,                         ,,,,,,
