一级行业,二级行业,三级行业,四级行业,释义
能源,能源,油气开采与油田服务,油气开采,承包钻井服务的公司、钻机及钻井设备的制造商，以及向那些涉及石油与天然气井的钻探、评估和完井的公司提供用品和服务的公司。
能源,能源,油气开采与油田服务,油田服务,为油田的生产活动提供产品及技术服务的公司，不包括归类于“油气开采”子行业的钻井相关公司。
能源,能源,石油与天然气,综合性石油与天然气企业,从事石油及天然气勘探与生产，并且至少在以下某一领域有大量业务：炼制、营销、运输或者石油化工的综合性石油公司。
能源,能源,石油与天然气,燃油炼制,从事石油生产、炼制及销售相关产品的公司。
能源,能源,石油与天然气,天然气加工,从事天然气生产、加工及销售相关产品的公司。
能源,能源,石油与天然气,油气流通及其他,从事石油、天然气和/或炼制产品储存和运输的公司。包括石油和炼制产品管道公司、煤泥管道公司以及石油与天然气运输公司。
能源,能源,煤炭,煤炭,主要从事生产与开采煤以及相关产品。
能源,能源,煤炭,焦炭,主要从事生产炼焦煤、焦炭以及相关产品。
原材料,化工,农用化工,氮肥,主要从事生产含氮化肥的公司。
原材料,化工,农用化工,钾肥,主要从事生产含钾化肥的公司。
原材料,化工,农用化工,复合肥,主要从事生产含多种营养元素化肥的公司。
原材料,化工,农用化工,农药,主要从事生产农用杀虫剂的公司。
原材料,化工,农用化工,磷肥及磷化工,主要从事生产含磷化肥及其他磷化物的公司。
原材料,化工,化学纤维,锦纶与涤纶,主要从事生产锦纶和涤纶的公司。
原材料,化工,化学纤维,粘胶,主要从事生产粘胶纤维的公司。
原材料,化工,化学纤维,氨纶及其他化纤,主要从事生产氨纶及其他化学纤维的公司。
原材料,化工,化学原料,纯碱,主要从事生产纯碱及相关原料的公司。
原材料,化工,化学原料,氯碱,主要从事生产氯碱及相关原料的公司。
原材料,化工,化学原料,无机盐,主要从事生产无机盐及相关原料的公司。
原材料,化工,化学原料,钛白粉,主要从事生产钛白粉的公司。
原材料,化工,化学原料,其他化学原料,主要从事生产其他化学原料的公司。
原材料,化工,化学制品,民爆制品,主要从事生产民用爆破器材的公司，包含民用炸药、雷管及类似的火工产品。
原材料,化工,化学制品,涂料油墨,主要从事生产涂料和油漆的公司。
原材料,化工,化学制品,印染化学品,主要从事生产印染化学制品的公司。
原材料,化工,化学制品,氟化工,主要从事生产氟化物的公司。
原材料,化工,化学制品,有机硅,主要从事生产有机硅化合物的公司。
