ticker,etf-id,etf_name,file_name
iefa,244049,ishares-core-msci-eafe-etf,IEFA_holdings
iemg,244050,ishares-core-msci-emerging-markets-etf,IEMG_holdings
efa,239623,ishares-msci-eafe-etf,EFA_holdings
ixus,244048,ishares-core-msci-total-international-stock-etf,IXUS_holdings
eem,239637,ishares-msci-emerging-markets-etf,EEM_holdings
acwi,239600,ishares-msci-acwi-etf,ACWI_holdings
efv,239628,ishares-msci-eafe-value-etf,EFV_holdings
ewj,239665,ishares-msci-japan-etf,EWJ_holdings
efg,239622,ishares-msci-eafe-growth-etf,EFG_holdings
idev,286762,ishares-core-msci-international-developed-markets-etf,IDEV_holdings
scz,239627,ishares-msci-eafe-smallcap-etf,SCZ_holdings
efav,239626,ishares-msci-eafe-minimum-volatility-etf,EFAV_holdings
esgd,283778,ishares-esg-aware-msci-eafe-etf,ESGD_holdings
mchi,239619,ishares-msci-china-etf,MCHI_holdings
ezu,239644,ishares-msci-emu-etf,EZU_holdings
iqlt,271540,ishares-msci-international-developed-quality-factor-etf,IQLT_holdings
inda,239659,ishares-msci-india-etf,INDA_holdings
emxc,288504,ishares-msci-emerging-markets-ex-china-etf,EMXC_holdings
ewz,239612,ishares-msci-brazil-capped-etf,EWZ_holdings
fxi,239536,ishares-china-largecap-etf,FXI_holdings
acwv,239605,ishares-msci-all-country-world-minimum-volatility-etf,ACWV_holdings
eemv,239641,ishares-msci-emerging-markets-minimum-volatility-etf,EEMV_holdings
acwx,239594,ishares-msci-acwi-ex-us-etf,ACWX_holdings
idv,239499,ishares-international-select-dividend-etf,IDV_holdings
ioo,239737,ishares-global-100-etf,IOO_holdings
esge,283777,ishares-esg-aware-msci-em-etf,ESGE_holdings
ieur,264617,ishares-core-msci-europe-etf,IEUR_holdings
ixj,239744,ishares-global-healthcare-etf,IXJ_holdings
ewy,239681,ishares-msci-south-korea-capped-etf,EWY_holdings
hefa,259622,ishares-currency-hedged-msci-eafe-etf,HEFA_holdings
igf,239746,ishares-global-infrastructure-etf,IGF_holdings
ixn,239750,ishares-global-tech-etf,IXN_holdings
ewt,239686,ishares-msci-taiwan-etf,EWT_holdings
icln,239738,ishares-global-clean-energy-etf,ICLN_holdings
ewc,239615,ishares-msci-canada-etf,EWC_holdings
ewu,239690,ishares-msci-united-kingdom-etf,EWU_holdings
urth,239696,ishares-msci-world-etf,URTH_holdings
aaxj,239601,ishares-msci-all-country-asia-ex-japan-etf,AAXJ_holdings
ewa,239607,ishares-msci-australia-etf,EWA_holdings
ixc,239741,ishares-global-energy-etf,IXC_holdings
epp,239674,ishares-msci-pacific-ex-japan-etf,EPP_holdings
ivlu,275382,ishares-msci-international-developed-value-factor-etf,IVLU_holdings
ipac,264619,ishares-core-msci-pacific-etf,IPAC_holdings
iev,239736,ishares-europe-etf,IEV_holdings
aia,239730,ishares-asia-50-etf,AIA_holdings
imtm,271538,ishares-msci-international-developed-momentum-factor-etf,IMTM_holdings
ilf,239761,ishares-latin-america-40-etf,ILF_holdings
pabu,325725,ishares-paris-aligned-climate-msci-usa-etf,PABU_holdings
lctu,318215,blackrock-u-s-carbon-transition-readiness-etf,LCTU_holdings
eww,239670,ishares-msci-mexico-capped-etf,EWW_holdings
kxi,239740,ishares-global-consumer-staples-etf,KXI_holdings
ewg,239650,ishares-msci-germany-etf,EWG_holdings
ewl,239685,ishares-msci-switzerland-capped-etf,EWL_holdings
intf,272822,ishares-msci-international-multi-factor-etf,INTF_holdings
ksa,271542,ishares-msci-saudi-arabia-capped-etf,KSA_holdings
ewq,239648,ishares-msci-france-etf,EWQ_holdings
crbn,271054,ishares-msci-acwi-low-carbon-target-etf,CRBN_holdings
indy,239758,ishares-india-50-etf,INDY_holdings
ewp,239683,ishares-msci-spain-capped-etf,EWP_holdings
igro,283737,ishares-international-dividend-growth-etf,IGRO_holdings
dvye,239526,ishares-emerging-markets-dividend-etf,DVYE_holdings
ewh,239657,ishares-msci-hong-kong-etf,EWH_holdings
fm,239649,ishares-msci-frontier-100-etf,FM_holdings
emgf,272820,ishares-msci-emerging-multi-factor-etf,EMGF_holdings
ihak,307352,ishares-cybersecurity-and-tech-etf,IHAK_holdings
ech,239618,ishares-msci-chile-capped-etf,ECH_holdings
iscf,272823,ishares-msci-international-small-cap-multi-factor-etf,ISCF_holdings
exi,239745,ishares-global-industrials-etf,EXI_holdings
ews,239678,ishares-msci-singapore-capped-etf,EWS_holdings
eido,239661,ishares-msci-indonesia-etf,EIDO_holdings
smin,239660,ishares-msci-india-smallcap-etf,SMIN_holdings
lctd,318216,blackrock-world-ex-u-s-carbon-transition-readiness-etf,LCTD_holdings
dmxf,314362,ishares-esg-advanced-msci-eafe-etf,DMXF_holdings
eema,239629,ishares-msci-emerging-markets-asia-etf,EEMA_holdings
ixg,239742,ishares-global-financials-etf,IXG_holdings
sdg,283378,ishares-msci-global-sustainable-development-goals-etf,SDG_holdings
hezu,268708,ishares-currency-hedged-msci-emu-etf,HEZU_holdings
eems,239642,ishares-msci-emerging-markets-smallcap-etf,EEMS_holdings
ewd,239684,ishares-msci-sweden-etf,EWD_holdings
rxi,239739,ishares-global-consumer-discretionary-etf,RXI_holdings
ewi,239664,ishares-msci-italy-capped-etf,EWI_holdings
ixp,239751,ishares-global-telecom-etf,IXP_holdings
cnya,273318,ishares-msci-china-a-etf,CNYA_holdings
thd,239688,ishares-msci-thailand-capped-etf,THD_holdings
eza,239680,ishares-msci-south-africa-etf,EZA_holdings
ewjv,307263,ishares-msci-japan-value-etf,EWJV_holdings
mxi,239748,ishares-global-materials-etf,MXI_holdings
ewm,239669,ishares-msci-malaysia-etf,EWM_holdings
tur,239689,ishares-msci-turkey-etf,TUR_holdings
eden,239621,ishares-msci-denmark-capped-etf,EDEN_holdings
ewzs,239613,ishares-msci-brazil-smallcap-etf,EWZS_holdings
hewj,259624,ishares-currency-hedged-msci-japan-etf,HEWJ_holdings
ewn,239671,ishares-msci-netherlands-etf,EWN_holdings
wood,239752,ishares-global-timber-forestry-etf,WOOD_holdings
epol,239676,ishares-msci-poland-capped-etf,EPOL_holdings
tok,239668,ishares-msci-kokusai-etf,TOK_holdings
