ticker,etf-id,etf_name,file_name
igf,239746,ishares-global-infrastructure-etf,IGF_holdings
icln,239738,ishares-global-clean-energy-etf,ICLN_holdings
xt,272532,ishares-exponential-technologies-etf,XT_holdings
ifra,294315,ishares-u-s-infrastructure-etf,IFRA_holdings
ihak,307352,ishares-cybersecurity-and-tech-etf,IHAK_holdings
irbo,297905,ishares-robotics-and-artificial-intelligence-multisector-etf,IRBO_holdings
idrv,307332,ishares-self-driving-ev-and-tech-etf,IDRV_holdings
tecb,312046,ishares-u-s-tech-breakthrough-multisector-etf,TECB_holdings
cnya,273318,ishares-msci-china-a-etf,CNYA_holdings
idna,308878,ishares-genomics-immunology-and-healthcare-etf,IDNA_holdings
emif,239735,ishares-emerging-markets-infrastructure-etf,EMIF_holdings
btek,316011,blackrock-future-tech-etf,BTEK_holdings
iblc,326614,ishares-blockchain-and-tech-etf,IBLC_holdings
tchi,325390,ishares-msci-china-multisector-tech-etf,TCHI_holdings
idat,307350,ishares-future-cloud-5g-and-tech-etf,IDAT_holdings
ivrs,330840,ishares-future-metaverse-tech-and-communications-etf,IVRS_holdings
iveg,326601,ishares-emergent-food-and-agtech-multisector-etf,IVEG_holdings
iwtr,329650,ishares-msci-water-management-multisector-etf,IWTR_holdings
icop,332280,ishares-copper-and-metals-mining-etf,ICOP_holdings
bthm,325384,blackrock-future-u-s-themes-etf,BTHM_holdings
ibrn,329137,ishares-neuroscience-and-healthcare-etf,IBRN_holdings
efra,330188,ishares-environmental-infrastructure-and-industrials-etf,EFRA_holdings
bpay,329128,blackrock-future-financial-and-technology-etf,BPAY_holdings
beco,320098,blackrock-future-climate-and-sustainable-economy-etf,BECO_holdings
ilit,332281,ishares-lithium-miners-and-producers-etf,ILIT_holdings
bmed,316007,blackrock-future-health-etf,BMED_holdings
etec,331244,ishares-breakthrough-environmental-solutions-etf,ETEC_holdings
iwfh,315979,ishares-virtual-work-and-life-multisector-etf,IWFH_holdings
