ticker,etf-id,etf_name,file_name
ivv,239726,ishares-core-sp-500-etf,IVV_holdings
ijh,239763,ishares-core-sp-midcap-etf,IJH_holdings
iwf,239706,ishares-russell-1000-growth-etf,IWF_holdings
ijr,239774,ishares-core-sp-smallcap-etf,IJR_holdings
iwm,239710,ishares-russell-2000-etf,IWM_holdings
iwd,239708,ishares-russell-1000-value-etf,IWD_holdings
itot,239724,ishares-core-sp-total-us-stock-market-etf,ITOT_holdings
ivw,239725,ishares-sp-500-growth-etf,IVW_holdings
iwb,239707,ishares-russell-1000-etf,IWB_holdings
iwr,239718,ishares-russell-midcap-etf,IWR_holdings
ive,239728,ishares-sp-500-value-etf,IVE_holdings
iusg,239713,ishares-core-sp-us-growth-etf,IUSG_holdings
iusv,239715,ishares-core-sp-us-value-etf,IUSV_holdings
iwp,239717,ishares-russell-midcap-growth-etf,IWP_holdings
iws,239719,ishares-russell-midcap-value-etf,IWS_holdings
iwv,239714,ishares-russell-3000-etf,IWV_holdings
iwn,239712,ishares-russell-2000-value-etf,IWN_holdings
iwo,239709,ishares-russell-2000-growth-etf,IWO_holdings
oef,239723,ishares-sp-100-etf,OEF_holdings
ijk,239762,ishares-sp-midcap-400-growth-etf,IJK_holdings
ijj,239764,ishares-sp-midcap-400-value-etf,IJJ_holdings
iwy,239720,ishares-russell-top-200-growth-etf,IWY_holdings
ijs,239775,ishares-sp-smallcap-600-value-etf,IJS_holdings
ijt,239773,ishares-sp-smallcap-600-growth-etf,IJT_holdings
iwx,239722,ishares-russell-top-200-value-etf,IWX_holdings
ilcg,239580,ishares-morningstar-largecap-growth-etf,ILCG_holdings
imcg,239583,ishares-morningstar-midcap-growth-etf,IMCG_holdings
iwl,239721,ishares-russell-top-200-etf,IWL_holdings
ilcv,239581,ishares-morningstar-largecap-value-etf,ILCV_holdings
iwc,239716,ishares-microcap-etf,IWC_holdings
smmd,288024,ishares-russell-2500-etf,SMMD_holdings
ilcb,239579,ishares-morningstar-largecap-etf,ILCB_holdings
imcb,239582,ishares-morningstar-midcap-etf,IMCB_holdings
imcv,239584,ishares-morningstar-midcap-value-etf,IMCV_holdings
iscg,239587,ishares-morningstar-smallcap-growth-etf,ISCG_holdings
iscv,239588,ishares-morningstar-smallcap-value-etf,ISCV_holdings
iscb,239586,ishares-morningstar-smallcap-etf,ISCB_holdings
xvv,315917,ishares-esg-screened-s-p-500-etf,XVV_holdings
xjh,315914,ishares-esg-screened-s-p-mid-cap-etf,XJH_holdings
sval,316394,ishares-us-small-cap-value-factor-etf,SVAL_holdings
xjr,315920,ishares-esg-screened-s-p-small-cap-etf,XJR_holdings
ivvb,332307,ishares-large-cap-deep-buffer-etf,IVVB_holdings
ivvm,332306,ishares-large-cap-moderate-buffer-etf,IVVM_holdings
blcv,331795,blackrock-large-cap-value-etf,BLCV_holdings
stlg,312212,ishares-factors-us-growth-style-etf,STLG_holdings
stlv,312214,ishares-factors-us-value-style-etf,STLV_holdings
